corpus_row,google_volume_id,title,author,bucket,reason,existing_audit_tier
16,GlY2pfZGrAkC,Contrarian Investment Strategies in the Next Generation,David Dreman,ALREADY_JUDGED,judge verdict: KEEP_A (keep),KEEP_A
17,9fF3Gn_ZuvMC,Value Stocks beat Growth Stocks: An empirical Analysis for the German Stock Market,Christian Schießl,ALREADY_JUDGED,judge verdict: DROP_D (drop),DROP_D
18,FPWzK0j2KU4C,Value versus Growth - An Empirical Analysis of Equity Fund Managers ́ Capabilities to Generate Alpha,Thomas Müller,ALREADY_JUDGED,judge verdict: DROP_D (drop),DROP_D
19,hgd3__K9cCkC,Value Investing,Martin J. Whitman,ALREADY_JUDGED,judge verdict: KEEP_B (keep),KEEP_B
20,5xdYDb1wD9YC,Fundamentals of Investments,Richard A. Stevenson,ALREADY_JUDGED,judge verdict: REVIEW_C (review),REVIEW_C
21,u9xmEp_FB58C,What Is Value Investing?,Lawrence A. Cunningham,ALREADY_JUDGED,judge verdict: REVIEW_C (review),REVIEW_C
22,_Exwgz9_6oEC,Investor's Library,"Marvin Appel, Harry Domash, Michael N. Kahn CMT",ALREADY_JUDGED,judge verdict: REVIEW_C (review),REVIEW_C
23,60UkDwAAQBAJ,Good Stocks Cheap: Value Investing with Confidence for a Lifetime of Stock Market Outperformance,Kenneth Jeffrey Marshall,ALREADY_JUDGED,judge verdict: KEEP_B (keep),KEEP_B
24,PnK_cQAACAAJ,Fundamental Analysis in Value Investing,Chau Duong,ALREADY_JUDGED,judge verdict: DROP_D (drop),DROP_D
25,Bj9I9EzNZhsC,Investing Online For Dummies,Kathleen Sindell,ALREADY_JUDGED,judge verdict: DROP_D (drop),DROP_D
26,HPHqDwAAQBAJ,Value Investing For Dummies,"Peter J. Sander, Janet Haley",ALREADY_JUDGED,judge verdict: KEEP_B (keep),KEEP_B
27,rPkmNfPEuIYC,Fundamental Analysis,John C. Ritchie,ALREADY_JUDGED,judge verdict: REVIEW_C (review),REVIEW_C
28,XY3pEAAAQBAJ,"The AFIRE Guide to U.S. Real Estate Investing, Fourth Edition: What Global Investors Need to Know about Commercial Real Estate Acquisition, Management, and Disposition",Will McIntosh,ALREADY_JUDGED,judge verdict: KEEP_B (keep),KEEP_B
29,ZQ0QAQAAMAAJ,"Words on Cassette, 2002",R R Bowker Publishing,ALREADY_JUDGED,judge verdict: DROP_D (drop),DROP_D
30,pyeA4Bj3wAgC,The Money Answers Dictionary of Finance and Investment Terms,"John Downes, Jordan Elliot Goodman",ALREADY_JUDGED,judge verdict: KEEP_B (keep),KEEP_B
31,qRakBQAAQBAJ,Private Wealth Mangement 9th Ed (PB),"G. Victor Hallman, Jerry S. Rosenbloom",ALREADY_JUDGED,judge verdict: KEEP_B (keep),KEEP_B
32,sqdmvYZrX3cC,Private Wealth Management: The Complete Reference for the Personal Financial Planner,"G. Victor Hallman, Jerry S. Rosenbloom",ALREADY_JUDGED,judge verdict: KEEP_B (keep),KEEP_B
33,9-1X9wA_bhEC,Teenvestor,"Emmanuel Modu, Andrea Walker",ALREADY_JUDGED,judge verdict: REVIEW_C (review),REVIEW_C
34,DctIxcCoguoC,Kiss Your Stockbroker Goodbye,"John Wells, John G. Wells",ALREADY_JUDGED,judge verdict: KEEP_B (keep),KEEP_B
35,DS-xeZMsAEUC,The Individual Investor's Guide to Winning on Wall Street,Peter J. DeAngelis,ALREADY_JUDGED,judge verdict: DROP_D (drop),DROP_D
36,Z1XT7_Afrk8C,Handbook for No-Load Fund Investors,Sheldon Jacobs,ALREADY_JUDGED,judge verdict: DROP_D (drop),DROP_D
37,0N9-rpe1L4oC,Extra Dividends Supplement to Accompany Fundamentals of Investing,David J. McLaughlin,ALREADY_JUDGED,judge verdict: DROP_D (drop),DROP_D
38,OmaeIdd95EQC,The Art and Science of Technical Analysis,Adam Grimes,AUTO_KEEP,"manual annotation (14 anns, max strength 1.0)",KEEP_A
39,2HpWnQiPqMYC,Intermarket Technical Analysis,John J. Murphy,ALREADY_JUDGED,judge verdict: KEEP_A (keep),KEEP_A
40,3EfBDwAAQBAJ,MIDAS Technical Analysis,"Andrew Coles, David Hawkins",ALREADY_JUDGED,judge verdict: KEEP_B (keep),KEEP_B
41,yeM6viq7fAYC,"Bond and Money Markets: Strategy, Trading, Analysis",Moorad Choudhry,ALREADY_JUDGED,judge verdict: KEEP_A (keep),KEEP_A
42,62-9CgAAQBAJ,Technical Analysis,"Charles D. Kirkpatrick II, Julie R. Dahlquist",AUTO_KEEP,"manual annotation (14 anns, max strength 1.0)",KEEP_A
43,iA0fEAAAQBAJ,Technical Analysis and Stock Market Profits (Harriman Definitive Edition),Richard Schabacker,ALREADY_JUDGED,judge verdict: KEEP_A (keep),KEEP_A
44,hOBhz7i6npcC,New Frontiers in Technical Analysis,Paul Ciana,ALREADY_JUDGED,judge verdict: KEEP_B (keep),KEEP_B
45,y9l5CgAAQBAJ,Trading with Intermarket Analysis,John J. Murphy,ALREADY_JUDGED,judge verdict: KEEP_A (keep),KEEP_A
46,UIxyWFkFJ4QC,Technical Analysis for the Trading Professional,Constance M. Brown,ALREADY_JUDGED,judge verdict: KEEP_B (keep),KEEP_B
47,mP-Kb-R9aKcC,Technical Markets Indicators,"Richard J. Bauer, Julie R. Dahlquist",ALREADY_JUDGED,judge verdict: KEEP_B (keep),KEEP_B
48,_TJKwgEACAAJ,Trading: Technical Analysis Masterclass: Master the Financial Markets,"Moritz Czubatinski, Rolf Schlotmann",ALREADY_JUDGED,judge verdict: KEEP_B (keep),KEEP_B
49,cVJmDwAAQBAJ,Technical Analysis of Stock Trends,"Robert D. Edwards, John Magee, W.H.C. Bassetti",AUTO_KEEP,"manual annotation (14 anns, max strength 1.0)",KEEP_A
50,XLRFDwAAQBAJ,Trader's Guide to Financial Markets and Technical Analysis,Jitender Yadav,ALREADY_JUDGED,judge verdict: REVIEW_C (review),REVIEW_C
51,7HOiDwAAQBAJ,Trading the Markets the Point & Figure way,Prashant Shah,ALREADY_JUDGED,judge verdict: KEEP_B (keep),KEEP_B
52,VIruZ65OADgC,All About Candlestick Charting,Wayne A. Corbitt,ALREADY_JUDGED,judge verdict: KEEP_B (keep),KEEP_B
53,BgjBzwEACAAJ,A Beginner's Guide To Technical Analysis,Three Candles Press,ALREADY_JUDGED,judge verdict: DROP_D (drop),DROP_D
54,Cm7H4m7bqmcC,The Trading Methodologies of W.D. Gann,Hima Reddy,ALREADY_JUDGED,judge verdict: REVIEW_C (review),REVIEW_C
55,YlzcEAAAQBAJ,Beyond Technical Analysis,Tushar S. Chande,ALREADY_JUDGED,judge verdict: KEEP_B (keep),KEEP_B
56,zcFHAeGZDtkC,Mapping the Markets,"Deborah Owen, Robin Griffiths",ALREADY_JUDGED,judge verdict: KEEP_B (keep),KEEP_B
57,OvaWoAEACAAJ,Technical Analysis,Alan Northcott,ALREADY_JUDGED,judge verdict: DROP_D (drop),DROP_D
58,2RZi42MSunkC,1999 Writer's Market,"Mark Garvey, Holm",ALREADY_JUDGED,judge verdict: DROP_D (drop),DROP_D
59,NQ5xDwAAQBAJ,"Mastering the Trade, Third Edition: Proven Techniques for Profiting from Intraday and Swing Trading Setups",John F. Carter,ALREADY_JUDGED,judge verdict: KEEP_B (keep),KEEP_B
60,Ab5PAQAAQBAJ,Trading For Dummies,"Michael Griffis, Lita Epstein",ALREADY_JUDGED,judge verdict: DROP_D (drop),DROP_D
61,2lNpJqsuuqQC,The Market Guys' Five Points for Trading Success,"A. J. Monte, Rick Swope",ALREADY_JUDGED,judge verdict: REVIEW_C (review),REVIEW_C
62,yXXCBwAAQBAJ,Trend Trading For Dummies,Barry Burns,ALREADY_JUDGED,judge verdict: REVIEW_C (review),REVIEW_C
63,_t1MzUWXfs8C,Investments,Mayo,ALREADY_JUDGED,judge verdict: KEEP_B (keep),KEEP_B
64,gOSYCekK5GcC,Technical Analysis of the Currency Market,Boris Schlossberg,ALREADY_JUDGED,judge verdict: KEEP_B (keep),KEEP_B
65,_F3BAwAAQBAJ,Risk Management in Trading,Davis Edwards,ALREADY_JUDGED,judge verdict: KEEP_B (keep),KEEP_B
66,ji3LDwAAQBAJ,Investment Analysis & Portfolio Management,"Frank K. Reilly, Keith C. Brown, Brindha Gunasingham, Asjeet Lamba, Dr Frank Elston",ALREADY_JUDGED,judge verdict: KEEP_B (keep),KEEP_B
67,PbXzAAAAMAAJ,Investing and Risk Management,Robert Lawrence Kuhn,ALREADY_JUDGED,judge verdict: KEEP_B (keep),KEEP_B
68,UwN0AwAAQBAJ,Strategies of Banks and Other Financial Institutions,Rajesh Kumar,ALREADY_JUDGED,judge verdict: KEEP_B (keep),KEEP_B
69,VRyfEK_cVpAC,"Risk, Risk Management and Regulation in the Banking Industry",Peter Pelzer,ALREADY_JUDGED,judge verdict: REVIEW_C (review),REVIEW_C
70,Mjd96ayZ98kC,Quality Money Management,"Andrew Kumiega, Benjamin Van Vliet",ALREADY_JUDGED,judge verdict: KEEP_B (keep),KEEP_B
71,UTD7Rct71JYC,"Trade, Investment and Development: Reaping the Full Benefits of Open Markets",OECD,ALREADY_JUDGED,judge verdict: REVIEW_C (review),REVIEW_C
72,MpbOHizSDVwC,Credit Derivatives,Geoff Chaplin,ALREADY_JUDGED,judge verdict: KEEP_B (keep),KEEP_B
73,jc2SBQAAQBAJ,Investment Risk Management,"Harold Kent Baker, Greg Filbeck",ALREADY_JUDGED,judge verdict: KEEP_B (keep),KEEP_B
74,w-2_DQAAQBAJ,Energy Trading & Investing 2E (PB),Davis W. Edwards,ALREADY_JUDGED,judge verdict: KEEP_B (keep),KEEP_B
75,sD0PNeDmHmgC,The Essentials of Risk Management,"Michel Crouhy, Dan Galai, Robert Mark",ALREADY_JUDGED,judge verdict: KEEP_A (keep),KEEP_A
76,ZkNQEAAAQBAJ,Risk and Money Management for Day and Swing Trading,Wieland Arlt,ALREADY_JUDGED,judge verdict: KEEP_B (keep),KEEP_B
77,aOsCDgAAQBAJ,Real-Time Risk,"Irene Aldridge, Steven Krawciw",ALREADY_JUDGED,judge verdict: KEEP_B (keep),KEEP_B
78,fxdqJjfjV8kC,Credit Derivatives,Geoff Chaplin,ALREADY_JUDGED,judge verdict: KEEP_B (keep),KEEP_B
79,hlDfEAAAQBAJ,Trading Risk,Kenneth L. Grant,ALREADY_JUDGED,judge verdict: KEEP_B (keep),KEEP_B
80,Ot4IEAAAQBAJ,"Portfolio Management in Practice, Volume 1",CFA Institute,ALREADY_JUDGED,judge verdict: KEEP_A (keep),KEEP_A
81,JDjDCAAAQBAJ,Portfolio Management,"John Bonner, Marcus Rees, Edward Ivanovic",ALREADY_JUDGED,judge verdict: REVIEW_C (review),REVIEW_C
82,7_vxEAAAQBAJ,"Portfolio Management in Practice, Volume 2",CFA Institute,ALREADY_JUDGED,judge verdict: KEEP_A (keep),KEEP_A
83,SbIz2gRbrF4C,Pioneering Portfolio Management,David F. Swensen,AUTO_KEEP,"manual annotation (9 anns, max strength 1.0)",KEEP_A
84,QN4IEAAAQBAJ,"Portfolio Management in Practice, Volume 2",CFA Institute,ALREADY_JUDGED,judge verdict: KEEP_A (keep),KEEP_A
85,igZR2oxK-woC,"Mastering the Art of Asset Allocation, Chapter 10 - Sources of Information","CFA Darst, David M.",ALREADY_JUDGED,judge verdict: DROP_D (drop),DROP_D
86,q80oFFsiI3kC,"Asset Allocation, 4th Ed",Roger C. Gibson,ALREADY_JUDGED,judge verdict: KEEP_B (keep),KEEP_B
87,pUilEQAAQBAJ,Managing Your Firm's 401(k) Plan,Matthew X. Smith,ALREADY_JUDGED,judge verdict: KEEP_B (keep),KEEP_B
88,R12JEQAAQBAJ,Modern Fund Management and Sustainable Development of Emerging Financial Markets,Ephraim Matanda,ALREADY_JUDGED,judge verdict: REVIEW_C (review),REVIEW_C
89,kPfrA0qhG4AC,Mastering the Art of Asset Allocation : Comprehensive Approaches to Managing Risk and Optimizing Returns,CFA David M. Darst,ALREADY_JUDGED,judge verdict: KEEP_B (keep),KEEP_B
90,_pZTS-QgMHcC,Global Asset Allocation,"Jess Lederman, Robert A. Klein",ALREADY_JUDGED,judge verdict: KEEP_B (keep),KEEP_B
91,cXsxQ1yzWwsC,Core-Satellite Portfolio Management,J. Clay Singleton,ALREADY_JUDGED,judge verdict: KEEP_B (keep),KEEP_B
92,CWrD8aoKejYC,Streetsmart Guide to Managing Your Portfolio,Frank Yao,ALREADY_JUDGED,judge verdict: KEEP_B (keep),KEEP_B
93,COQoNN7mAnsC,The Theory and Practice of Investment Management,"Frank J. Fabozzi, Harry M. Markowitz",ALREADY_JUDGED,judge verdict: KEEP_A (keep),KEEP_A
94,-JosEQAAQBAJ,Asset Management and Institutional Investors,"Ignazio Basile, Pierpaolo Ferrari",ALREADY_JUDGED,judge verdict: KEEP_B (keep),KEEP_B
95,KcbcDWIgzpQC,Dynamic Portfolio Theory and Management,Richard E. Oberuc,ALREADY_JUDGED,judge verdict: KEEP_B (keep),KEEP_B
96,mFLNUdvuE0kC,Behavioral Investment Management: An Efficient Alternative to Modern Portfolio Theory,"Greg B. Davies, Arnaud de Servigny",ALREADY_JUDGED,judge verdict: KEEP_B (keep),KEEP_B
97,Ozt1OaXe5qwC,The Practical Guide to Practically Everything,"Peter L Bernstein, Peter W. Bernstein, Christopher Ma",ALREADY_JUDGED,judge verdict: DROP_D (drop),DROP_D
98,Q7IzEAAAQBAJ,Asset Allocation,"William Kinlaw, Mark P. Kritzman, David Turkington",ALREADY_JUDGED,judge verdict: KEEP_A (keep),KEEP_A
99,NEgbAQAAMAAJ,Canadian Almanac and Directory 2002,Canadian Almanac & Directory,ALREADY_JUDGED,judge verdict: DROP_D (drop),DROP_D
100,g6iODwAAQBAJ,Portfolio Management,"Scott D. Stewart, Christopher D. Piros, Jeffrey C. Heisler",ALREADY_JUDGED,judge verdict: KEEP_B (keep),KEEP_B
101,fq2CB5YTqssC,Portfolio Management Using Black-Litterman,Henning Padberg,ALREADY_JUDGED,judge verdict: DROP_D (drop),DROP_D
102,L3d9nom4JPsC,Portfolio Management in Practice,Christine Brentani,ALREADY_JUDGED,judge verdict: KEEP_B (keep),KEEP_B
103,z-joAwAAQBAJ,Asset Rotation,Matthew P. Erickson,ALREADY_JUDGED,judge verdict: REVIEW_C (review),REVIEW_C
104,O75mDwAAQBAJ,Advances in the Practice of Public Investment Management,"Narayan Bulusu, Joachim Coche, Alejandro Reveiz, Francisco Rivadeneyra, Vahe Sahakyan, Ghislain Yanou",ALREADY_JUDGED,judge verdict: KEEP_B (keep),KEEP_B
105,yt8wCwAAQBAJ,Buy and Hold is Still Dead (Again),Kenneth R. Solow,ALREADY_JUDGED,judge verdict: KEEP_B (keep),KEEP_B
106,8-xBSh1avUsC,Managing Investment Portfolios,"John L. Maginn, Donald L. Tuttle, Dennis W. McLeavey, Jerald E. Pinto",ALREADY_JUDGED,judge verdict: KEEP_A (keep),KEEP_A
107,rWW8AwAAQBAJ,Asset Management,Andrew Ang,ALREADY_JUDGED,judge verdict: KEEP_A (keep),KEEP_A
108,VEcREAAAQBAJ,Asset Management: Tools And Issues,"Frank J Fabozzi, Francesco A Fabozzi, Marcos Lopez De Prado, Stoyan V Stoyanov",ALREADY_JUDGED,judge verdict: KEEP_B (keep),KEEP_B
109,fjdYDwAAQBAJ,Portfolio Construction for Today's Markets,Russ Koesterich,ALREADY_JUDGED,judge verdict: KEEP_B (keep),KEEP_B
110,zbDmmWWKOkAC,Buy and Hold Is Dead (Again),Kenneth R. Solow,ALREADY_JUDGED,judge verdict: KEEP_B (keep),KEEP_B
111,yVlAb08VCCkC,Global Asset Allocation,"Heinz Zimmermann, Wolfgang Drobetz, Peter Oertmann",ALREADY_JUDGED,judge verdict: KEEP_B (keep),KEEP_B
112,k4zMDgAAQBAJ,A Practitioner's Guide to Asset Allocation,"William Kinlaw, Mark P. Kritzman, David Turkington",ALREADY_JUDGED,judge verdict: KEEP_A (keep),KEEP_A
113,vLWnDwAAQBAJ,Quantitative Management of Bond Portfolios,Lev Dynkin,ALREADY_JUDGED,judge verdict: KEEP_A (keep),KEEP_A
114,aSDkFQtysy8C,Active Portfolio Management: A Quantitative Approach for Producing Superior Returns and Selecting Superior Returns and Controlling Risk,"Richard C. Grinold, Ronald N. Kahn",AUTO_KEEP,"manual annotation (14 anns, max strength 1.0)",KEEP_A
115,loUgCwAAQBAJ,Portfolio Construction and Analytics,"Frank J. Fabozzi, Dessislava A. Pachamanova",ALREADY_JUDGED,judge verdict: KEEP_A (keep),KEEP_A
116,_e1lDwAAQBAJ,Strategic and Tactical Asset Allocation,Henrik Lumholdt,ALREADY_JUDGED,judge verdict: KEEP_B (keep),KEEP_B
117,t1F9DAAAQBAJ,"Quantitative Portfolio Optimisation, Asset Allocation and Risk Management",M. Rasmussen,ALREADY_JUDGED,judge verdict: KEEP_B (keep),KEEP_B
118,1BXZjwEACAAJ,The Endowment Model of Investing,"Martin L. Leibowitz, Anthony Bova, P. Brett Hammond",NEEDS_JUDGE,"no annotation, no verdict yet",
119,LYcqAgAAQBAJ,Portfolio Management under Stress,"Riccardo Rebonato, Alexander Denev",NEEDS_JUDGE,"no annotation, no verdict yet",
120,lInvAQAACAAJ,Forex Traders Psychology. A Behavioral Finance Research Paper,Qais Sbaih,NEEDS_JUDGE,"no annotation, no verdict yet",
121,Zt5CDwAAQBAJ,The Psychology of Successful Trading,Tim Short,NEEDS_JUDGE,"no annotation, no verdict yet",
122,J6On0QEACAAJ,Trading Psychology & Neuroscience,"Brian Dale Babiak, MD",NEEDS_JUDGE,"no annotation, no verdict yet",
123,wB3dCQAAQBAJ,Financial Risk Taking,Mike Elvin,NEEDS_JUDGE,"no annotation, no verdict yet",
124,dq_TEQAAQBAJ,Behavioural Finance,"Sujata Kapoor, Jaya Mamta Prosad",NEEDS_JUDGE,"no annotation, no verdict yet",
125,a296EAAAQBAJ,Trading Psychology For Dummies,Roland Ullrich,NEEDS_JUDGE,"no annotation, no verdict yet",
126,_7zRAgAAQBAJ,Investor Behavior,"H. Kent Baker, Victor Ricciardi",NEEDS_JUDGE,"no annotation, no verdict yet",
127,bLT_DwAAQBAJ,Finance Psychology: How To Begin Thinking Like A Professional Trader (This Workbook About Behavioral Finance Is All You Need To Be Successful In Trading),Forex Investment Lounge,NEEDS_JUDGE,"no annotation, no verdict yet",
128,JmFMvgCm2G8C,The Psychology of Trading,Brett N. Steenbarger,NEEDS_JUDGE,"no annotation, no verdict yet",
129,JETKCQAAQBAJ,The Three Skills of Top Trading,Hank Pruden,NEEDS_JUDGE,"no annotation, no verdict yet",
130,aH_W0QEACAAJ,Psychology of the Stock Market,G C (George Charles) Selden,NEEDS_JUDGE,"no annotation, no verdict yet",
131,iOF6RexINHAC,"Trading Stategies for Capital Markets, Chapter 22 - Psychology and Markets: Behavioral Finance",Joseph Benning,NEEDS_JUDGE,"no annotation, no verdict yet",
132,0vH2zQEACAAJ,BEHAVIORAL FINANCE,Gregor Kaufmann,NEEDS_JUDGE,"no annotation, no verdict yet",
133,ag21rQEACAAJ,"Bridging Trading Psychology, Behavioral Finance and Neurofinance, Towards Becoming a Consistent Profitable Trader",Ciprian Sebastian Turcan,NEEDS_JUDGE,"no annotation, no verdict yet",
134,zZDr-3DRMqcC,Quantitative Trading Strategies,Lars Kestner,NEEDS_JUDGE,"no annotation, no verdict yet",
135,WkrgzgEACAAJ,Trading Behavioural Finance - Money Management and Trading Psychology,David Carli,NEEDS_JUDGE,"no annotation, no verdict yet",
136,vvlcCgAAQBAJ,Trading Psychology 2.0,Brett N. Steenbarger,NEEDS_JUDGE,"no annotation, no verdict yet",
137,KlLNZ6g_pgMC,The Mental Strategies of Top Traders,Ari Kiev,NEEDS_JUDGE,"no annotation, no verdict yet",
138,esdm6ijCSrMC,The Story of Behavioral Finance,"Brandon Adams, Brian Finn",NEEDS_JUDGE,"no annotation, no verdict yet",
139,rIfr3k3EJswC,Streetsmart Guide to Valuing a Stock,"Gary Gray, Patrick Cusatis, J. Randall Woolridge",NEEDS_JUDGE,"no annotation, no verdict yet",
140,OZEKAwAAQBAJ,An Investigation of the “Flash Crash” of 2010 using the principles of behavioral finance,Jovana Paraca,NEEDS_JUDGE,"no annotation, no verdict yet",
141,4QbRAQAAQBAJ,Behavioral Finance and Capital Markets,A. Szyszka,NEEDS_JUDGE,"no annotation, no verdict yet",
142,zOqtEQAAQBAJ,From Human Bias to Machine Intelligence. An Empirical Study on Investor Behaviour and AI-Based Investment Decision Making,S. J. Sanjana,NEEDS_JUDGE,"no annotation, no verdict yet",
143,Sc3wMcq6aO4C,Inside the Investor's Brain,Richard L. Peterson,NEEDS_JUDGE,"no annotation, no verdict yet",
144,_7VZAAAAYAAJ,2003 CFA Level III Candidate Readings,Association for Investment Management and Research,NEEDS_JUDGE,"no annotation, no verdict yet",
145,l46JEAAAQBAJ,"Stocks for the Long Run: The Definitive Guide to Financial Market Returns & Long-Term Investment Strategies, Sixth Edition",Jeremy J. Siegel,AUTO_KEEP,"manual annotation (15 anns, max strength 1.0)",
146,9usJAQAAMAAJ,"Handbook of Finance, Investment Management and Financial Management",Frank J. Fabozzi,NEEDS_JUDGE,"no annotation, no verdict yet",
147,82WIY84Hx-kC,Behavioral Finance,"Edwin T. Burton, Sunit N. Shah",NEEDS_JUDGE,"no annotation, no verdict yet",
148,WNHOEQAAQBAJ,Trading Global Macro Markets,"Dirk Willer, Alex Saunders",NEEDS_JUDGE,"no annotation, no verdict yet",
149,p9sMEAAAQBAJ,Crypto Asset Investing in the Age of Autonomy,Jake Ryan,NEEDS_JUDGE,"no annotation, no verdict yet",
150,Yj0LIWZocugC,The New Investment Superstars,Lois Peltz,NEEDS_JUDGE,"no annotation, no verdict yet",
151,Y3arwUNcUWoC,Real World Macro 24th Edition,"Daniel Fireside, John Miller, Dollars & Sense",NEEDS_JUDGE,"no annotation, no verdict yet",
152,RJiTlGs1NSIC,Real World Macro,Randy Pearl Albelda,NEEDS_JUDGE,"no annotation, no verdict yet",
153,H-qgY68qMc8C,Managing World Economic Change,Robert A. Isaak,NEEDS_JUDGE,"no annotation, no verdict yet",
154,FHKgAwAAQBAJ,Global Macro Trading,Greg Gliner,NEEDS_JUDGE,"no annotation, no verdict yet",
155,H4YpAQAAMAAJ,International Capital Markets,International Monetary Fund,NEEDS_JUDGE,"no annotation, no verdict yet",
156,nVQS2ia3N6MC,Parallel and Distributed Processing and Applications,Yi Pan,NEEDS_JUDGE,"no annotation, no verdict yet",
157,WTiyBSxXmukC,The Encyclopedia of Trading Strategies,"Jeffrey Katz, Donna McCormick",NEEDS_JUDGE,"no annotation, no verdict yet",
158,GoZFNGeHktAC,Building Winning Trading Systems with TradeStation,"George Pruitt, John R. Hill",NEEDS_JUDGE,"no annotation, no verdict yet",
159,yUaFVfvU2-cC,"High-Probability Trading, Chapter 13 - A Little about Backtesting",Marcel Link,NEEDS_JUDGE,"no annotation, no verdict yet",
160,4igizlbY-T8C,The Individual Investor's Guide to Computerized Investing,American Association of Individual Investors,NEEDS_JUDGE,"no annotation, no verdict yet",
161,_TxWa7OQNOEC,Mastering Trade Selection and Management: Advanced Strategies for Long-Term Profitability,"Jay Norris, Al Gaskill",NEEDS_JUDGE,"no annotation, no verdict yet",
162,dTmr94EhEoUC,Tradings Systems That Work: Building and Evaluating Effective Trading Systems,Thomas Stridsman,NEEDS_JUDGE,"no annotation, no verdict yet",
163,ZGbTV69f-koC,Trading Strategies for Direct Access Trading,Robert Sales,NEEDS_JUDGE,"no annotation, no verdict yet",
164,zYMwAi5ZfhQC,Individual Investor's Guide to Computerized Investing,"American Association of Individual Investors, Amer",NEEDS_JUDGE,"no annotation, no verdict yet",
165,GHG3p6H8XXsC,All About Stock Market Strategies,"David Brown, Kassandra Bentley",NEEDS_JUDGE,"no annotation, no verdict yet",
166,I2Qe26bkXpgC,"High-Probability Trading, Chapter 10 - Making the High Probability Trades",Marcel Link,NEEDS_JUDGE,"no annotation, no verdict yet",
167,PJUua8Z1SHAC,All About Market Timing,Leslie Masonson,NEEDS_JUDGE,"no annotation, no verdict yet",
168,enB5DwAAQBAJ,Trend Trading for a Living (PB),Thomas K. Carr,NEEDS_JUDGE,"no annotation, no verdict yet",
169,vmsKEqZkFBYC,Managing a Hedge Fund,Keith H. Black,NEEDS_JUDGE,"no annotation, no verdict yet",
170,QTgfnM_ylxYC,Successful Investing with Fidelity Funds,Jack Bowers,NEEDS_JUDGE,"no annotation, no verdict yet",
171,FlR3oYhlwb4C,Momentum Stock Selection: Using The Momentum Method For Maximum Profits,Jake Bernstein,NEEDS_JUDGE,"no annotation, no verdict yet",
172,Lh7YHl9yiAYC,Building Reliable Trading Systems,Keith Fitschen,NEEDS_JUDGE,"no annotation, no verdict yet",
173,UhGUzQEACAAJ,The Book of Back-tests,Sofien Kaabar,NEEDS_JUDGE,"no annotation, no verdict yet",
174,du5qDwAAQBAJ,CFA Program Curriculum 2019 Level III Volumes 1-6 Box Set,CFA Institute,NEEDS_JUDGE,"no annotation, no verdict yet",
175,ZHW7DwAAQBAJ,Applications of Computational Intelligence in Data-Driven Trading,Cris Doloc,NEEDS_JUDGE,"no annotation, no verdict yet",
176,Yr0aZdSQA2kC,Managing Investment Portfolios,"John L. Maginn, Donald L. Tuttle, Dennis W. McLeavey, Jerald E. Pinto",NEEDS_JUDGE,"no annotation, no verdict yet",
