corpus_row,google_volume_id,title,author,dedup_norm_key,duplicate_group,group_size,is_canonical,suggested_canonical_title
31,qRakBQAAQBAJ,Private Wealth Mangement 9th Ed (PB),"G. Victor Hallman, Jerry S. Rosenbloom",private wealth mangement ed pb|hallman,29,1,True,Private Wealth Mangement 9th Ed (PB)
32,sqdmvYZrX3cC,Private Wealth Management: The Complete Reference for the Personal Financial Planner,"G. Victor Hallman, Jerry S. Rosenbloom",private wealth management|hallman,30,1,True,Private Wealth Management: The Complete Reference for the Personal Financial Planner
33,9-1X9wA_bhEC,Teenvestor,"Emmanuel Modu, Andrea Walker",teenvestor|modu,31,1,True,Teenvestor
34,DctIxcCoguoC,Kiss Your Stockbroker Goodbye,"John Wells, John G. Wells",kiss your stockbroker goodbye|wells,32,1,True,Kiss Your Stockbroker Goodbye
35,DS-xeZMsAEUC,The Individual Investor's Guide to Winning on Wall Street,Peter J. DeAngelis,individual investor s guide winning wall street|deangelis,33,1,True,The Individual Investor's Guide to Winning on Wall Street
36,Z1XT7_Afrk8C,Handbook for No-Load Fund Investors,Sheldon Jacobs,handbook no load fund investors|jacobs,34,1,True,Handbook for No-Load Fund Investors
37,0N9-rpe1L4oC,Extra Dividends Supplement to Accompany Fundamentals of Investing,David J. McLaughlin,extra dividends supplement accompany fundamentals investing|mclaughlin,35,1,True,Extra Dividends Supplement to Accompany Fundamentals of Investing
38,OmaeIdd95EQC,The Art and Science of Technical Analysis,Adam Grimes,art science technical analysis|grimes,36,1,True,The Art and Science of Technical Analysis
39,2HpWnQiPqMYC,Intermarket Technical Analysis,John J. Murphy,intermarket technical analysis|murphy,37,1,True,Intermarket Technical Analysis
40,3EfBDwAAQBAJ,MIDAS Technical Analysis,"Andrew Coles, David Hawkins",midas technical analysis|coles,38,1,True,MIDAS Technical Analysis
41,yeM6viq7fAYC,"Bond and Money Markets: Strategy, Trading, Analysis",Moorad Choudhry,bond money markets|choudhry,39,1,True,"Bond and Money Markets: Strategy, Trading, Analysis"
42,62-9CgAAQBAJ,Technical Analysis,"Charles D. Kirkpatrick II, Julie R. Dahlquist",technical analysis|ii,40,1,True,Technical Analysis
43,iA0fEAAAQBAJ,Technical Analysis and Stock Market Profits (Harriman Definitive Edition),Richard Schabacker,technical analysis stock market profits harriman definitive|schabacker,41,1,True,Technical Analysis and Stock Market Profits (Harriman Definitive Edition)
44,hOBhz7i6npcC,New Frontiers in Technical Analysis,Paul Ciana,frontiers technical analysis|ciana,42,1,True,New Frontiers in Technical Analysis
45,y9l5CgAAQBAJ,Trading with Intermarket Analysis,John J. Murphy,trading with intermarket analysis|murphy,43,1,True,Trading with Intermarket Analysis
46,UIxyWFkFJ4QC,Technical Analysis for the Trading Professional,Constance M. Brown,technical analysis trading professional|brown,44,1,True,Technical Analysis for the Trading Professional
47,mP-Kb-R9aKcC,Technical Markets Indicators,"Richard J. Bauer, Julie R. Dahlquist",technical markets indicators|bauer,45,1,True,Technical Markets Indicators
48,_TJKwgEACAAJ,Trading: Technical Analysis Masterclass: Master the Financial Markets,"Moritz Czubatinski, Rolf Schlotmann",trading|czubatinski,46,1,True,Trading: Technical Analysis Masterclass: Master the Financial Markets
49,cVJmDwAAQBAJ,Technical Analysis of Stock Trends,"Robert D. Edwards, John Magee, W.H.C. Bassetti",technical analysis stock trends|edwards,47,1,True,Technical Analysis of Stock Trends
50,XLRFDwAAQBAJ,Trader's Guide to Financial Markets and Technical Analysis,Jitender Yadav,trader s guide financial markets technical analysis|yadav,48,1,True,Trader's Guide to Financial Markets and Technical Analysis
51,7HOiDwAAQBAJ,Trading the Markets the Point & Figure way,Prashant Shah,trading markets point figure way|shah,49,1,True,Trading the Markets the Point & Figure way
52,VIruZ65OADgC,All About Candlestick Charting,Wayne A. Corbitt,all about candlestick charting|corbitt,50,1,True,All About Candlestick Charting
53,BgjBzwEACAAJ,A Beginner's Guide To Technical Analysis,Three Candles Press,beginner s guide technical analysis|press,51,1,True,A Beginner's Guide To Technical Analysis
54,Cm7H4m7bqmcC,The Trading Methodologies of W.D. Gann,Hima Reddy,trading methodologies w d gann|reddy,52,1,True,The Trading Methodologies of W.D. Gann
55,YlzcEAAAQBAJ,Beyond Technical Analysis,Tushar S. Chande,beyond technical analysis|chande,53,1,True,Beyond Technical Analysis
56,zcFHAeGZDtkC,Mapping the Markets,"Deborah Owen, Robin Griffiths",mapping markets|owen,54,1,True,Mapping the Markets
57,OvaWoAEACAAJ,Technical Analysis,Alan Northcott,technical analysis|northcott,55,1,True,Technical Analysis
58,2RZi42MSunkC,1999 Writer's Market,"Mark Garvey, Holm",1999 writer s market|garvey,56,1,True,1999 Writer's Market
59,NQ5xDwAAQBAJ,"Mastering the Trade, Third Edition: Proven Techniques for Profiting from Intraday and Swing Trading Setups",John F. Carter,mastering trade|carter,57,1,True,"Mastering the Trade, Third Edition: Proven Techniques for Profiting from Intraday and Swing Trading Setups"
60,Ab5PAQAAQBAJ,Trading For Dummies,"Michael Griffis, Lita Epstein",trading dummies|griffis,58,1,True,Trading For Dummies
61,2lNpJqsuuqQC,The Market Guys' Five Points for Trading Success,"A. J. Monte, Rick Swope",market guys five points trading success|monte,59,1,True,The Market Guys' Five Points for Trading Success
62,yXXCBwAAQBAJ,Trend Trading For Dummies,Barry Burns,trend trading dummies|burns,60,1,True,Trend Trading For Dummies
63,_t1MzUWXfs8C,Investments,Mayo,investments|mayo,61,1,True,Investments
64,gOSYCekK5GcC,Technical Analysis of the Currency Market,Boris Schlossberg,technical analysis currency market|schlossberg,62,1,True,Technical Analysis of the Currency Market
65,_F3BAwAAQBAJ,Risk Management in Trading,Davis Edwards,risk management trading|edwards,63,1,True,Risk Management in Trading
66,ji3LDwAAQBAJ,Investment Analysis & Portfolio Management,"Frank K. Reilly, Keith C. Brown, Brindha Gunasingham, Asjeet Lamba, Dr Frank Elston",investment analysis portfolio management|reilly,64,1,True,Investment Analysis & Portfolio Management
67,PbXzAAAAMAAJ,Investing and Risk Management,Robert Lawrence Kuhn,investing risk management|kuhn,65,1,True,Investing and Risk Management
68,UwN0AwAAQBAJ,Strategies of Banks and Other Financial Institutions,Rajesh Kumar,strategies banks other financial institutions|kumar,66,1,True,Strategies of Banks and Other Financial Institutions
69,VRyfEK_cVpAC,"Risk, Risk Management and Regulation in the Banking Industry",Peter Pelzer,risk risk management regulation banking industry|pelzer,67,1,True,"Risk, Risk Management and Regulation in the Banking Industry"
70,Mjd96ayZ98kC,Quality Money Management,"Andrew Kumiega, Benjamin Van Vliet",quality money management|kumiega,68,1,True,Quality Money Management
71,UTD7Rct71JYC,"Trade, Investment and Development: Reaping the Full Benefits of Open Markets",OECD,trade investment development|oecd,69,1,True,"Trade, Investment and Development: Reaping the Full Benefits of Open Markets"
72,MpbOHizSDVwC,Credit Derivatives,Geoff Chaplin,credit derivatives|chaplin,70,2,False,Credit Derivatives
73,jc2SBQAAQBAJ,Investment Risk Management,"Harold Kent Baker, Greg Filbeck",investment risk management|baker,71,1,True,Investment Risk Management
74,w-2_DQAAQBAJ,Energy Trading & Investing 2E (PB),Davis W. Edwards,energy trading investing 2e pb|edwards,72,1,True,Energy Trading & Investing 2E (PB)
75,sD0PNeDmHmgC,The Essentials of Risk Management,"Michel Crouhy, Dan Galai, Robert Mark",essentials risk management|crouhy,73,1,True,The Essentials of Risk Management
76,ZkNQEAAAQBAJ,Risk and Money Management for Day and Swing Trading,Wieland Arlt,risk money management day swing trading|arlt,74,1,True,Risk and Money Management for Day and Swing Trading
77,aOsCDgAAQBAJ,Real-Time Risk,"Irene Aldridge, Steven Krawciw",real time risk|aldridge,75,1,True,Real-Time Risk
78,fxdqJjfjV8kC,Credit Derivatives,Geoff Chaplin,credit derivatives|chaplin,70,2,True,Credit Derivatives
79,hlDfEAAAQBAJ,Trading Risk,Kenneth L. Grant,trading risk|grant,76,1,True,Trading Risk
80,Ot4IEAAAQBAJ,"Portfolio Management in Practice, Volume 1",CFA Institute,portfolio management practice 1|institute,77,1,True,"Portfolio Management in Practice, Volume 1"
81,JDjDCAAAQBAJ,Portfolio Management,"John Bonner, Marcus Rees, Edward Ivanovic",portfolio management|bonner,78,1,True,Portfolio Management
82,7_vxEAAAQBAJ,"Portfolio Management in Practice, Volume 2",CFA Institute,portfolio management practice 2|institute,79,2,True,"Portfolio Management in Practice, Volume 2"
83,SbIz2gRbrF4C,Pioneering Portfolio Management,David F. Swensen,pioneering portfolio management|swensen,80,1,True,Pioneering Portfolio Management
84,QN4IEAAAQBAJ,"Portfolio Management in Practice, Volume 2",CFA Institute,portfolio management practice 2|institute,79,2,False,"Portfolio Management in Practice, Volume 2"
85,igZR2oxK-woC,"Mastering the Art of Asset Allocation, Chapter 10 - Sources of Information","CFA Darst, David M.",mastering art asset allocation chapter 10 sources information|darst,81,1,True,"Mastering the Art of Asset Allocation, Chapter 10 - Sources of Information"
86,q80oFFsiI3kC,"Asset Allocation, 4th Ed",Roger C. Gibson,asset allocation ed|gibson,82,1,True,"Asset Allocation, 4th Ed"
87,pUilEQAAQBAJ,Managing Your Firm's 401(k) Plan,Matthew X. Smith,managing your firm s 401 k plan|smith,83,1,True,Managing Your Firm's 401(k) Plan
88,R12JEQAAQBAJ,Modern Fund Management and Sustainable Development of Emerging Financial Markets,Ephraim Matanda,modern fund management sustainable development emerging financial markets|matanda,84,1,True,Modern Fund Management and Sustainable Development of Emerging Financial Markets
89,kPfrA0qhG4AC,Mastering the Art of Asset Allocation : Comprehensive Approaches to Managing Risk and Optimizing Returns,CFA David M. Darst,mastering art asset allocation|darst,85,1,True,Mastering the Art of Asset Allocation : Comprehensive Approaches to Managing Risk and Optimizing Returns
90,_pZTS-QgMHcC,Global Asset Allocation,"Jess Lederman, Robert A. Klein",global asset allocation|lederman,86,1,True,Global Asset Allocation
91,cXsxQ1yzWwsC,Core-Satellite Portfolio Management,J. Clay Singleton,core satellite portfolio management|singleton,87,1,True,Core-Satellite Portfolio Management
92,CWrD8aoKejYC,Streetsmart Guide to Managing Your Portfolio,Frank Yao,streetsmart guide managing your portfolio|yao,88,1,True,Streetsmart Guide to Managing Your Portfolio
93,COQoNN7mAnsC,The Theory and Practice of Investment Management,"Frank J. Fabozzi, Harry M. Markowitz",theory practice investment management|fabozzi,89,1,True,The Theory and Practice of Investment Management
94,-JosEQAAQBAJ,Asset Management and Institutional Investors,"Ignazio Basile, Pierpaolo Ferrari",asset management institutional investors|basile,90,1,True,Asset Management and Institutional Investors
95,KcbcDWIgzpQC,Dynamic Portfolio Theory and Management,Richard E. Oberuc,dynamic portfolio theory management|oberuc,91,1,True,Dynamic Portfolio Theory and Management
96,mFLNUdvuE0kC,Behavioral Investment Management: An Efficient Alternative to Modern Portfolio Theory,"Greg B. Davies, Arnaud de Servigny",behavioral investment management|davies,92,1,True,Behavioral Investment Management: An Efficient Alternative to Modern Portfolio Theory
97,Ozt1OaXe5qwC,The Practical Guide to Practically Everything,"Peter L Bernstein, Peter W. Bernstein, Christopher Ma",practical guide practically everything|bernstein,93,1,True,The Practical Guide to Practically Everything
98,Q7IzEAAAQBAJ,Asset Allocation,"William Kinlaw, Mark P. Kritzman, David Turkington",asset allocation|kinlaw,94,1,True,Asset Allocation
99,NEgbAQAAMAAJ,Canadian Almanac and Directory 2002,Canadian Almanac & Directory,canadian almanac directory 2002|almanac,95,1,True,Canadian Almanac and Directory 2002
100,g6iODwAAQBAJ,Portfolio Management,"Scott D. Stewart, Christopher D. Piros, Jeffrey C. Heisler",portfolio management|stewart,96,1,True,Portfolio Management
101,fq2CB5YTqssC,Portfolio Management Using Black-Litterman,Henning Padberg,portfolio management using black litterman|padberg,97,1,True,Portfolio Management Using Black-Litterman
102,L3d9nom4JPsC,Portfolio Management in Practice,Christine Brentani,portfolio management practice|brentani,98,1,True,Portfolio Management in Practice
103,z-joAwAAQBAJ,Asset Rotation,Matthew P. Erickson,asset rotation|erickson,99,1,True,Asset Rotation
104,O75mDwAAQBAJ,Advances in the Practice of Public Investment Management,"Narayan Bulusu, Joachim Coche, Alejandro Reveiz, Francisco Rivadeneyra, Vahe Sahakyan, Ghislain Yanou",advances practice public investment management|bulusu,100,1,True,Advances in the Practice of Public Investment Management
105,yt8wCwAAQBAJ,Buy and Hold is Still Dead (Again),Kenneth R. Solow,buy hold is still dead again|solow,101,1,True,Buy and Hold is Still Dead (Again)
106,8-xBSh1avUsC,Managing Investment Portfolios,"John L. Maginn, Donald L. Tuttle, Dennis W. McLeavey, Jerald E. Pinto",managing investment portfolios|maginn,102,2,False,Managing Investment Portfolios
107,rWW8AwAAQBAJ,Asset Management,Andrew Ang,asset management|ang,103,1,True,Asset Management
108,VEcREAAAQBAJ,Asset Management: Tools And Issues,"Frank J Fabozzi, Francesco A Fabozzi, Marcos Lopez De Prado, Stoyan V Stoyanov",asset management|fabozzi,104,1,True,Asset Management: Tools And Issues
109,fjdYDwAAQBAJ,Portfolio Construction for Today's Markets,Russ Koesterich,portfolio construction today s markets|koesterich,105,1,True,Portfolio Construction for Today's Markets
110,zbDmmWWKOkAC,Buy and Hold Is Dead (Again),Kenneth R. Solow,buy hold is dead again|solow,106,1,True,Buy and Hold Is Dead (Again)
111,yVlAb08VCCkC,Global Asset Allocation,"Heinz Zimmermann, Wolfgang Drobetz, Peter Oertmann",global asset allocation|zimmermann,107,1,True,Global Asset Allocation
112,k4zMDgAAQBAJ,A Practitioner's Guide to Asset Allocation,"William Kinlaw, Mark P. Kritzman, David Turkington",practitioner s guide asset allocation|kinlaw,108,1,True,A Practitioner's Guide to Asset Allocation
113,vLWnDwAAQBAJ,Quantitative Management of Bond Portfolios,Lev Dynkin,quantitative management bond portfolios|dynkin,109,1,True,Quantitative Management of Bond Portfolios
114,aSDkFQtysy8C,Active Portfolio Management: A Quantitative Approach for Producing Superior Returns and Selecting Superior Returns and Controlling Risk,"Richard C. Grinold, Ronald N. Kahn",active portfolio management|grinold,110,1,True,Active Portfolio Management: A Quantitative Approach for Producing Superior Returns and Selecting Superior Returns and Controlling Risk
115,loUgCwAAQBAJ,Portfolio Construction and Analytics,"Frank J. Fabozzi, Dessislava A. Pachamanova",portfolio construction analytics|fabozzi,111,1,True,Portfolio Construction and Analytics
116,_e1lDwAAQBAJ,Strategic and Tactical Asset Allocation,Henrik Lumholdt,strategic tactical asset allocation|lumholdt,112,1,True,Strategic and Tactical Asset Allocation
117,t1F9DAAAQBAJ,"Quantitative Portfolio Optimisation, Asset Allocation and Risk Management",M. Rasmussen,quantitative portfolio optimisation asset allocation risk management|rasmussen,113,1,True,"Quantitative Portfolio Optimisation, Asset Allocation and Risk Management"
118,1BXZjwEACAAJ,The Endowment Model of Investing,"Martin L. Leibowitz, Anthony Bova, P. Brett Hammond",endowment model investing|leibowitz,114,1,True,The Endowment Model of Investing
119,LYcqAgAAQBAJ,Portfolio Management under Stress,"Riccardo Rebonato, Alexander Denev",portfolio management under stress|rebonato,115,1,True,Portfolio Management under Stress
120,lInvAQAACAAJ,Forex Traders Psychology. A Behavioral Finance Research Paper,Qais Sbaih,forex traders psychology behavioral finance research paper|sbaih,116,1,True,Forex Traders Psychology. A Behavioral Finance Research Paper
121,Zt5CDwAAQBAJ,The Psychology of Successful Trading,Tim Short,psychology successful trading|short,117,1,True,The Psychology of Successful Trading
122,J6On0QEACAAJ,Trading Psychology & Neuroscience,"Brian Dale Babiak, MD",trading psychology neuroscience|babiak,118,1,True,Trading Psychology & Neuroscience
123,wB3dCQAAQBAJ,Financial Risk Taking,Mike Elvin,financial risk taking|elvin,119,1,True,Financial Risk Taking
124,dq_TEQAAQBAJ,Behavioural Finance,"Sujata Kapoor, Jaya Mamta Prosad",behavioural finance|kapoor,120,1,True,Behavioural Finance
125,a296EAAAQBAJ,Trading Psychology For Dummies,Roland Ullrich,trading psychology dummies|ullrich,121,1,True,Trading Psychology For Dummies
126,_7zRAgAAQBAJ,Investor Behavior,"H. Kent Baker, Victor Ricciardi",investor behavior|baker,122,1,True,Investor Behavior
127,bLT_DwAAQBAJ,Finance Psychology: How To Begin Thinking Like A Professional Trader (This Workbook About Behavioral Finance Is All You Need To Be Successful In Trading),Forex Investment Lounge,finance psychology|lounge,123,1,True,Finance Psychology: How To Begin Thinking Like A Professional Trader (This Workbook About Behavioral Finance Is All You Need To Be Successful In Trading)
128,JmFMvgCm2G8C,The Psychology of Trading,Brett N. Steenbarger,psychology trading|steenbarger,124,1,True,The Psychology of Trading
129,JETKCQAAQBAJ,The Three Skills of Top Trading,Hank Pruden,three skills top trading|pruden,125,1,True,The Three Skills of Top Trading
130,aH_W0QEACAAJ,Psychology of the Stock Market,G C (George Charles) Selden,psychology stock market|selden,126,1,True,Psychology of the Stock Market
131,iOF6RexINHAC,"Trading Stategies for Capital Markets, Chapter 22 - Psychology and Markets: Behavioral Finance",Joseph Benning,trading stategies capital markets chapter 22 psychology markets|benning,127,1,True,"Trading Stategies for Capital Markets, Chapter 22 - Psychology and Markets: Behavioral Finance"
132,0vH2zQEACAAJ,BEHAVIORAL FINANCE,Gregor Kaufmann,behavioral finance|kaufmann,128,1,True,BEHAVIORAL FINANCE
133,ag21rQEACAAJ,"Bridging Trading Psychology, Behavioral Finance and Neurofinance, Towards Becoming a Consistent Profitable Trader",Ciprian Sebastian Turcan,bridging trading psychology behavioral finance neurofinance towards becoming consistent profitable trader|turcan,129,1,True,"Bridging Trading Psychology, Behavioral Finance and Neurofinance, Towards Becoming a Consistent Profitable Trader"
134,zZDr-3DRMqcC,Quantitative Trading Strategies,Lars Kestner,quantitative trading strategies|kestner,130,1,True,Quantitative Trading Strategies
135,WkrgzgEACAAJ,Trading Behavioural Finance - Money Management and Trading Psychology,David Carli,trading behavioural finance money management trading psychology|carli,131,1,True,Trading Behavioural Finance - Money Management and Trading Psychology
136,vvlcCgAAQBAJ,Trading Psychology 2.0,Brett N. Steenbarger,trading psychology 2 0|steenbarger,132,1,True,Trading Psychology 2.0
137,KlLNZ6g_pgMC,The Mental Strategies of Top Traders,Ari Kiev,mental strategies top traders|kiev,133,1,True,The Mental Strategies of Top Traders
138,esdm6ijCSrMC,The Story of Behavioral Finance,"Brandon Adams, Brian Finn",story behavioral finance|adams,134,1,True,The Story of Behavioral Finance
139,rIfr3k3EJswC,Streetsmart Guide to Valuing a Stock,"Gary Gray, Patrick Cusatis, J. Randall Woolridge",streetsmart guide valuing stock|gray,135,1,True,Streetsmart Guide to Valuing a Stock
140,OZEKAwAAQBAJ,An Investigation of the “Flash Crash” of 2010 using the principles of behavioral finance,Jovana Paraca,investigation flash crash 2010 using principles behavioral finance|paraca,136,1,True,An Investigation of the “Flash Crash” of 2010 using the principles of behavioral finance
141,4QbRAQAAQBAJ,Behavioral Finance and Capital Markets,A. Szyszka,behavioral finance capital markets|szyszka,137,1,True,Behavioral Finance and Capital Markets
142,zOqtEQAAQBAJ,From Human Bias to Machine Intelligence. An Empirical Study on Investor Behaviour and AI-Based Investment Decision Making,S. J. Sanjana,from human bias machine intelligence empirical study investor behaviour ai based investment decision making|sanjana,138,1,True,From Human Bias to Machine Intelligence. An Empirical Study on Investor Behaviour and AI-Based Investment Decision Making
143,Sc3wMcq6aO4C,Inside the Investor's Brain,Richard L. Peterson,inside investor s brain|peterson,139,1,True,Inside the Investor's Brain
144,_7VZAAAAYAAJ,2003 CFA Level III Candidate Readings,Association for Investment Management and Research,2003 cfa level iii candidate readings|management,140,1,True,2003 CFA Level III Candidate Readings
145,l46JEAAAQBAJ,"Stocks for the Long Run: The Definitive Guide to Financial Market Returns & Long-Term Investment Strategies, Sixth Edition",Jeremy J. Siegel,stocks long run|siegel,141,1,True,"Stocks for the Long Run: The Definitive Guide to Financial Market Returns & Long-Term Investment Strategies, Sixth Edition"
146,9usJAQAAMAAJ,"Handbook of Finance, Investment Management and Financial Management",Frank J. Fabozzi,handbook finance investment management financial management|fabozzi,142,1,True,"Handbook of Finance, Investment Management and Financial Management"
147,82WIY84Hx-kC,Behavioral Finance,"Edwin T. Burton, Sunit N. Shah",behavioral finance|burton,143,1,True,Behavioral Finance
148,WNHOEQAAQBAJ,Trading Global Macro Markets,"Dirk Willer, Alex Saunders",trading global macro markets|willer,144,1,True,Trading Global Macro Markets
149,p9sMEAAAQBAJ,Crypto Asset Investing in the Age of Autonomy,Jake Ryan,crypto asset investing age autonomy|ryan,145,1,True,Crypto Asset Investing in the Age of Autonomy
150,Yj0LIWZocugC,The New Investment Superstars,Lois Peltz,investment superstars|peltz,146,1,True,The New Investment Superstars
151,Y3arwUNcUWoC,Real World Macro 24th Edition,"Daniel Fireside, John Miller, Dollars & Sense",real world macro|fireside,147,1,True,Real World Macro 24th Edition
152,RJiTlGs1NSIC,Real World Macro,Randy Pearl Albelda,real world macro|albelda,148,1,True,Real World Macro
153,H-qgY68qMc8C,Managing World Economic Change,Robert A. Isaak,managing world economic change|isaak,149,1,True,Managing World Economic Change
154,FHKgAwAAQBAJ,Global Macro Trading,Greg Gliner,global macro trading|gliner,150,1,True,Global Macro Trading
155,H4YpAQAAMAAJ,International Capital Markets,International Monetary Fund,international capital markets|fund,151,1,True,International Capital Markets
156,nVQS2ia3N6MC,Parallel and Distributed Processing and Applications,Yi Pan,parallel distributed processing applications|pan,152,1,True,Parallel and Distributed Processing and Applications
157,WTiyBSxXmukC,The Encyclopedia of Trading Strategies,"Jeffrey Katz, Donna McCormick",encyclopedia trading strategies|katz,153,1,True,The Encyclopedia of Trading Strategies
158,GoZFNGeHktAC,Building Winning Trading Systems with TradeStation,"George Pruitt, John R. Hill",building winning trading systems with tradestation|pruitt,154,1,True,Building Winning Trading Systems with TradeStation
159,yUaFVfvU2-cC,"High-Probability Trading, Chapter 13 - A Little about Backtesting",Marcel Link,high probability trading chapter 13 little about backtesting|link,155,1,True,"High-Probability Trading, Chapter 13 - A Little about Backtesting"
160,4igizlbY-T8C,The Individual Investor's Guide to Computerized Investing,American Association of Individual Investors,individual investor s guide computerized investing|investors,156,2,True,The Individual Investor's Guide to Computerized Investing
161,_TxWa7OQNOEC,Mastering Trade Selection and Management: Advanced Strategies for Long-Term Profitability,"Jay Norris, Al Gaskill",mastering trade selection management|norris,157,1,True,Mastering Trade Selection and Management: Advanced Strategies for Long-Term Profitability
162,dTmr94EhEoUC,Tradings Systems That Work: Building and Evaluating Effective Trading Systems,Thomas Stridsman,tradings systems that work|stridsman,158,1,True,Tradings Systems That Work: Building and Evaluating Effective Trading Systems
163,ZGbTV69f-koC,Trading Strategies for Direct Access Trading,Robert Sales,trading strategies direct access trading|sales,159,1,True,Trading Strategies for Direct Access Trading
