"google_volume_id","source_query","source_queries","source_start_index","source_result_index","global_rank","fetched_at","dedup_key","dedup_strategy","duplicate_count","title","subtitle","author","isbn_13","isbn_10","canonical_isbn_13","description","page_count","publication_year","published_date_raw","publisher","categories","language","cover_url","source","avg_rating","ratings_count"
"WrCW5SI-T7AC","financial markets trading investing","financial markets trading investing","40","15","55","2026-05-14T12:48:26+00:00","9781568029757","isbn_13_explicit","1","Federal Regulatory Directory, 12th Edition","","Kenneth Jost, David Masci, Brian Hansen, Mary H Cooper","9781568029757","1568029756","9781568029757","For more than 25 years the Federal Regulatory Directory has been the go-to guide for anyone looking for the most authoritative, thorough, and efficient source of key information on agencies and regulations that shape lives, policies, businesses, and government in the United States. The twelfth edition continues this strong tradition by offering the most current agency and regulation information, including up-to-date coverage of key recent changes in staff and agency structures. Book jacket.","826","2005","2005-12-21","CQ Press","Reference","en","https://books.google.com/books/content?id=WrCW5SI-T7AC&printsec=frontcover&img=1&zoom=1&source=gbs_api","google_books","",""
"8GF9zgEACAAJ","financial markets trading investing","financial markets trading investing","80","2","82","2026-05-14T12:48:28+00:00","9798728829126","isbn_13_explicit","1","Investing and Trading Strategies","4 Books in 1: the Complete Crash Course with Proven Strategies to Become a Profitable Trader in the Financial Markets and Stop Living Paycheck to Paycheck","Dave Robert Warren Graham","9798728829126","","9798728829126","Are investing and trading in the financial markets worth it? Are you thinking it's time to drastically change your life and start making REAL money with this activity? Yes, can do it, and this bundle will give you the right knowledge, simple and proven strategies to do just that. Keep reading to find out it. Many people are anxious about getting into the stock market, and, to be fair, they are right. A lot of bad information and unnecessary strategies are out there. You need to find the right information, organize your funds and be prepared before starting. With my new guide, you can learn all about the proven concepts that are simple to apply in trading, the different strategies that you can use, the types of stock available, which stocks are right, the different asset types, and how long you should hold a trade. Moreover, thanks to this book, you're going to make a difference. The difference between those who constantly earn on the financial markets and those who always lose money. Here's a small glimpse of what you're going to find inside: Collection 1: Stock Market Investing for Beginners and Options Trading Crash Course How to Get Start and Do's and Don'ts How to Master Stock Market, Bonds, Futurees, Forex and Commodities Technical Analysis Vs. Fundamental Analysis How to Build Your Investment Portfolio How to Use Options Trading to Protect and to Leverage your Capital Collection 2: Swing and Day Trading Strategies How to Use Swing and Day Trading Strategies to Boost your Income Pros and Cons of Swing Trading and Pros and Cons of Day Trading Understanding Money and Risk Management What is the Right Trading Mindset ...and that's only a little preview! If you want to learn the entire process to start trading, including knowing how much capital is needed, how much income an individual can make, the daily routine of a trader and above all how to apply the strategies you should use, then you can't miss this complete guide. ... and yes! It's worth it! We can make good money from the financial markets if we are passionate about this. There are so many successful investors, like me, who do it, and it is no mystery. With the right information in your hands, and some time and practice, you can become as effective as any other trader out there. You must believe me! Read on to gain the knowledge that will be the primary source of input for the decisions you will make as a trader or an investor! Are you ready to get started? Then click BUY NOW to get started today. Please note: the book is also available in 4 printed formats: 2 Paperback: ""Black and White"" and ""Full color"" 2 Hardcover: ""Black and White"" and ""Full color"" Click on "" See all formats and editions"" and Choose the best for you: ISBN: [979-8686738652] Paperback, Black&White ISBN: [978-1914409028] Paperback, Color ISBN: [979-8728829126] Hardcover, Black&White ISBN: [978-1914409035] Hardcover, Color","550","2021","2021-03-27","","","en","","google_books","",""
"ch9RAQAAIAAJ","financial markets trading investing","financial markets trading investing","80","11","91","2026-05-14T12:48:28+00:00","9780117018594","isbn_13_explicit","1","Britain 1995","An Official Handbook","Great Britain. Central Office of Information","9780117018594","0117018597","9780117018594","Now in its 48th edition, the Handbook is an authoritative annual compendium of Britain, providing an up-to-date account of all the latest policy developments in the UK.","580","1994","1994","","Almanacs","en","https://books.google.com/books/content?id=ch9RAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","google_books","",""
"s7dTEQAAQBAJ","fundamental analysis valuation investing","fundamental analysis valuation investing","0","1","1","2026-05-14T12:59:38+00:00","9782808697651","isbn_13_explicit","1","Mastering Value Investing","Insights from Benjamin Graham investment philosophy","Peter Benedikt","9782808697651","2808697651","9782808697651","Ready to invest like a pro? ""Mastering Value Investment"" distills the legendary strategies of Benjamin Graham— “the father of value investing”—to give you an edge in the stock market and secure lasting financial success! Why Mastering Value Investment? • Graham’s Winning Principles: Dive into key concepts like “margin of safety” and intrinsic value. Say goodbye to guesswork and start making smart, calculated investments! • Look Beyond the Market Noise: Cut through market hype and discover a company’s real worth with insights on analyzing profits, assets, and economic fundamentals. • Master Emotional Control: Learn how to stay cool during market swings, spot psychological traps, and avoid rash decisions. Think strategically, act confidently! • Build Wealth for the Long Run: This isn’t about quick wins; it’s about sustainable growth! With Graham’s principles, you’ll create a solid, adaptable investment strategy for life. Whether you’re just starting out or a seasoned investor, Mastering Value Investment is your guide to navigating the markets with precision, confidence, and a vision for the future. Get ready to take charge of your financial journey—your path to wealth starts here! ABOUT THE AUTHOR Peter Benedikt is a seasoned entrepreneur, investor, and business strategist with an extensive background in management.","77","2025","2025-04-04","Primento Digital sprl","Business & Economics","en","https://books.google.com/books/content?id=s7dTEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","google_books","",""
"fj1oEQAAQBAJ","fundamental analysis valuation investing","fundamental analysis valuation investing","0","5","5","2026-05-14T12:59:38+00:00","9783819747748","isbn_13_explicit","1","Simple Investing For Smart Kids:","Fun Habits and Techniques to ""Earning, Spending, Saving, Donating, Investing, and Growing"" Money For Your Kids Ages 8-16 [Easy Money Lessons for Your Children to Gain Confidence and Independence.]","Dean McNeil","9783819747748","3819747745","9783819747748","Simple Investing For Smart Kids: Fun Habits and Techniques to ""Earning, Spending, Saving, Donating, Investing, and Growing"" Money For Your Kids Ages 8-16 [Easy Money Lessons for Your Children to Gain Confidence and Independence.] Have you ever wished you knew how to invest in a simple and easy way, but had no idea where to start? This book will serve as your guiding light, providing you with essential insights and knowledge to make informed decisions that shape your financial future. Within these pages, we will delve into unique and exciting chapters, each designed to unlock the mysteries of the investment world. Our mission is to empower you with the tools and understanding to navigate the complex landscape of finance, paving the way for a prosperous and fulfilling future. Here Is A Preview Of What You'll Learn... Understanding the Basics of Investing The Power of Compound Interest Setting Financial Goals for Kids Different Types of Investments Stocks and Shares: Introduction for Kids Diversification: Spreading Your Investments The Importance of Research in Investing Investing in Technology and Innovation Environmental, Social, and Governance (ESG) Investing Value Investing: Finding Undervalued Stocks Growth Investing: Investing in High-Growth Companies And Much, much more! Take action now, follow the proven strategies within these pages, and grow your wealth while leaving a positive mark on the world. Scroll Up and Grab Your Copy Today!","394","2025","2025-06-24","epubli","Business & Economics","en","https://books.google.com/books/content?id=fj1oEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","google_books","",""
"GlY2pfZGrAkC","fundamental analysis valuation investing","fundamental analysis valuation investing","0","6","6","2026-05-14T12:59:38+00:00","9781451602197","isbn_13_explicit","1","Contrarian Investment Strategies in the Next Generation","","David Dreman","9781451602197","1451602197","9781451602197","David Dreman's name is synonymous with the term ""contrarian investing,"" and his contrarian strategies have been proven winners year after year. His techniques have spawned countless imitators, most of whom pay lip service to the buzzword ""contrarian,"" but few can match his performance. His Kemper-Dreman High Return Fund has been the leader since its inception in 1988 -- the number one equity-income fund among all 208 ranked by Lipper Analytical Services, Inc. Dreman is also one of a handful of money managers whose clients have beaten the runaway market over the past five, ten, and fifteen years. Now, as the longest bull market in the history of the stock market winds down, there is increasing volatility and a great deal of uncertainty. This is the climate that tests the mettle of the pros, the worries of the average investor, and the success of David Dreman's brilliant new strategies for the next millennium. ""Contrarian Investment Strategies: The Next Generation"" shows investors how to outperform professional money managers and profit from potential Wall Street panics -- all in Dreman's trademark style, which ""The New York Times"" calls ""witty and clear as a silver bell."" Dreman reveals a proven, systematic, and safe way to beat the market by buying stocks of good companies when they are currently out of favor. At the heart of his book is a fundamental psychological insight: investors overreact. Dreman demonstrates how investors consistently overvalue the so-called ""best"" stocks and undervalue the so-called ""worst"" stocks, and how earnings and other surprises affect the best and worst stocks in opposite ways. Since surprises are a way of life in the market, Dreman shows you how to profit from these surprises with his ingenious new techniques, most of which have been developed in the nineties. You'll learn: Why contrarian stocks offer extra protection in bear markets, as well as delivering superior returns when the bull roars. Why a high dividend yield is just as important for the aggressive investor as it is for ""widows and orphans."" Why owning Treasury bills and government bonds -- the ""safest investments"" for centuries -- is like being fully margined at the top of the 1929 market. Why Initial Public Offerings are a guaranteed loser's game. Why you should avoid Nasdaq (""the market of the next hundred years"") like the plague. Why crisis, panic, and even market downturns are the contrarian investor's best friend. Why the chances of hitting a home run using the Street's best research are worse than being the big winner in the New York State Lottery. Based on cutting-edge research and irrefutable statistics, David Dreman's revolutionary techniques will benefit professionals and laymen alike.","456","1998","1998-05-18","Simon and Schuster","Business & Economics","en","https://books.google.com/books/content?id=GlY2pfZGrAkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","google_books","",""
"9fF3Gn_ZuvMC","fundamental analysis valuation investing","fundamental analysis valuation investing","0","7","7","2026-05-14T12:59:38+00:00","9783656301301","isbn_13_explicit","1","Value Stocks beat Growth Stocks: An empirical Analysis for the German Stock Market","","Christian Schießl","9783656301301","3656301301","9783656301301","Master's Thesis from the year 2012 in the subject Business economics - Banking, Stock Exchanges, Insurance, Accounting, grade: 1,0, University of Bamberg, language: English, abstract: Based on a sample of German stocks listed at the Frankfurt stock exchange, the study investigated the ability of hedge portfolio formation structures, built of three value premium proxies (P/B, P/E, and DY), the size factor, and the technical momentum factor, to generate excess returns in the period 1992 to 2011. The P/B hedge portfolio yields an average return of 1.59 percent per month, the P/E hedge portfolio 0.664 percent, and a portfolio formation approach ranked on DY delivers a return of 0.839. The results of multivariate regressions favor the Fama-French three-factor model in order to explain expected stock returns.","72","2012","2012-11-02","GRIN Verlag","Business & Economics","en","https://books.google.com/books/content?id=9fF3Gn_ZuvMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","google_books","",""
"FPWzK0j2KU4C","fundamental analysis valuation investing","fundamental analysis valuation investing","0","8","8","2026-05-14T12:59:38+00:00","9783656178248","isbn_13_explicit","1","Value versus Growth - An Empirical Analysis of Equity Fund Managers ́ Capabilities to Generate Alpha","","Thomas Müller","9783656178248","3656178240","9783656178248","Bachelor Thesis from the year 2012 in the subject Business economics - Business Management, Corporate Governance, grade: 1,00, EBS European Business School gGmbH, language: English, abstract: Portfolio managers face the challenge to achieve excess returns comparative to a benchmark for their private or institutional clients. Researchers such as Fama and French (1992, 1996) or Lakonishok, Shleifer, and Vishny (1994) caused a stir with their findings that various investment styles tend to accomplish superior returns over a long-term horizon. Their findings proposed that value stocks tend to outperform growth stocks. This bachelor thesis raises the question whether value or growth fund managers are able to achieve a persistent outperformance relative to their internal and external benchmark. The findings have a crucial influence on investors considering an investment into the equity market by an active or passive portfolio management approach.","62","2012","2012-04-25","GRIN Verlag","Business & Economics","en","https://books.google.com/books/content?id=FPWzK0j2KU4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","google_books","",""
"hgd3__K9cCkC","fundamental analysis valuation investing","fundamental analysis valuation investing","0","9","9","2026-05-14T12:59:38+00:00","9780471398103","isbn_13_explicit","1","Value Investing","A Balanced Approach","Martin J. Whitman","9780471398103","0471398101","9780471398103","Provides a modern analytical framework for assessing a company's true value Written by a true value investor known for his ability to buy undervalued companies and re-sell them at a substantial profit, Value Investing provides an analytical framework that evaluates the impact of real events-including restructuring, regulations, mergers and acquisitions, and other important factors-on a company's value. Well-known for his success with distressed corporations and value investing, author Martin Whitman wages a controversial attack on the modern financial practice of focusing on price movements and short-term trading. In Value Investing, Whitman identifies fundamental factors affecting the value of companies and entire markets from the ground up and takes value investing one step further by demonstrating how industry movement and public policy decisions can lead to greater returns. He also highlights the shortcomings of all the popularly applied analytical techniques.","302","2000","2000-10-09","John Wiley & Sons","Business & Economics","en","https://books.google.com/books/content?id=hgd3__K9cCkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","google_books","",""
"5xdYDb1wD9YC","fundamental analysis valuation investing","fundamental analysis valuation investing","0","10","10","2026-05-14T12:59:38+00:00","9780314656698","isbn_13_explicit","1","Fundamentals of Investments","","Richard A. Stevenson","9780314656698","0314656693","9780314656698","","590","1988","1988","","Business & Economics","en","https://books.google.com/books/content?id=5xdYDb1wD9YC&printsec=frontcover&img=1&zoom=1&source=gbs_api","google_books","",""
"u9xmEp_FB58C","fundamental analysis valuation investing","fundamental analysis valuation investing","0","12","12","2026-05-14T12:59:38+00:00","9780071429559","isbn_13_explicit","1","What Is Value Investing?","","Lawrence A. Cunningham","9780071429559","0071429557","9780071429559","What Is Value Investing? provides individual investors with an introduction to value investing, todays most talked-about yet misunderstood investing strategy. Lawrence Cunningham explores: How to quickly measure the value of a stock The eight key rules of value investing Strategies for different investment needs","116","2004","2004-03-16","McGraw Hill Professional","Business & Economics","en","https://books.google.com/books/content?id=u9xmEp_FB58C&printsec=frontcover&img=1&zoom=1&source=gbs_api","google_books","",""
"_Exwgz9_6oEC","fundamental analysis valuation investing","fundamental analysis valuation investing","0","13","13","2026-05-14T12:59:38+00:00","9780132678186","isbn_13_explicit","1","Investor's Library","Fundamental Analysis, Technical Analysis, and Income Investing (Collection)","Marvin Appel, Harry Domash, Michael N. Kahn CMT","9780132678186","0132678187","9780132678186","Three outstanding investing guides packed with strategies for reducing costs and improving returns in today’s tough investment environment. Three books packed with wealth-building, cost-cutting help for today’s investors and markets. Don’t pay someone to pick stocks! Do it better yourself, with Harry Domash’s #1 guide to stock analysis! Next, Michael Kahn completely demystifies technical analysis and shows you exactly how to apply it--easily, painlessly, profitably. Then, Marvin Appel helps you use bonds and income-producing equity strategies to meet your income needs without unacceptable risk. Advice you’ll use, from experts you can trust! From world-renowned leaders and experts, including Harry Domash, Michael N. Kahn, and Dr. Marvin Appel.","1345","2011","2011-01-07","Pearson Education","Business & Economics","en","https://books.google.com/books/content?id=_Exwgz9_6oEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","google_books","",""
