corpus_row,title,author,source,quality_tier,relevance_tier,confidence,keep_decision,judge_status,avg_rating_best,review_count_best,rating_source_best,evidence_urls,reason,red_flags,duplicate_group,suggested_canonical_title
11,"Federal Regulatory Directory, 12th Edition","Kenneth Jost, David Masci, Brian Hansen, Mary H Cooper",google_books,DROP_D,low,high,drop,ok,,,none,https://www.amazon.com/Federal-Regulatory-Directory-CQ-Press/dp/1608717399; https://www.amazon.com/Federal-Regulatory-Directory-CQ-Press/dp/1483384772; https://us.sagepub.com/en-us/nam/federal-regulatory-directory/book240573; https://archive.org/details/federalregulator0000unse_t0x4; https://us.sagepub.com/en-us/nam/federal-regulatory-guide/book287187,"This is a well-established institutional reference directory on federal regulatory agencies published by the reputable CQ Press, with Library Journal and ARBA endorsements. However, it is a government regulatory reference work, not an investing, trading, financial markets, or macro book. Its relevance to Atlas's core scope is very low, making it unsuitable for inclusion regardless of its quality as a reference title.","regulatory reference directory, not investing/trading/markets/macro content; institutional reference work outside Atlas scope",9,"Federal Regulatory Directory, 12th Edition"
12,Investing and Trading Strategies,Dave Robert Warren Graham,google_books,DROP_D,medium,high,drop,ok,,,none,https://www.amazon.com/Investing-Trading-Strategies-Profitable-Financial/dp/1801117918; https://www.amazon.com/Investing-Trading-Strategies-Simplified-Beginners/dp/1914409027; https://www.goodreads.com/en/book/show/56131980; https://books.google.com/books/about/Investing_and_Trading_Strategies.html?id=3aD5zQEACAAJ; https://www.thriftbooks.com/a/dave-robert-warren-graham/4385673/,"This is a multi-book bundle from an unverifiable self-promotional author with no professional track record, containing overt 'get rich' and passive-income language that triggers the hard red-flag rule. There are no ratings on any platform, no credible reading-list mentions, and the author bio is clearly marketing copy rather than a genuine credential. Nothing in the evidence suggests canonical status or quality that would override a DROP_D classification.",Bundle / 'X books in 1' format; Hyperbolic get-rich / passive income language; 'For beginners' subtitle variant; No verifiable author credentials; promotional bio claiming penthouse lifestyle on 6-figure income; No ratings on any platform; Zero credible reading-list mentions; Micro/self-publisher with inconsistent author details across editions,10,Investing and Trading Strategies
13,Britain 1995,Great Britain. Central Office of Information,google_books,DROP_D,low,high,drop,ok,,,none,,"This is a UK government annual reference handbook covering broad policy developments across all sectors of Britain, not a book about investing, trading, financial markets, or macroeconomics. It is a 1994 general-purpose government compendium with no relevance to Atlas's domain. There is no ratings data, no web evidence, and no credible path to relevance for a financial knowledge platform.",government reference compendium; not investing/trading/markets focused; dated 1994/1995 annual handbook; no relevance to Atlas scope,11,Britain 1995
14,Mastering Value Investing,Peter Benedikt,google_books,DROP_D,medium,high,drop,ok,,,none,,"This book has no ratings, no web presence, an unknown author, and an obscure publisher. The description uses promotional language and frames the book as a beginner-friendly distillation of Benjamin Graham's strategies rather than an original contribution. With no evidence of credibility, canonical status, or meaningful readership, this meets the criteria for DROP_D.","no ratings or reviews found; unknown/unestablished author; obscure publisher; promotional/hyperbolic description language ('invest like a pro', 'lasting financial success'); 2025 publication with zero web presence; appears to be a beginner-oriented summary/distillation of Graham's work rather than original research",12,Mastering Value Investing
15,Simple Investing For Smart Kids:,Dean McNeil,google_books,DROP_D,low,high,drop,ok,,,none,https://www.litres.ru/book/dean-mcneil/simple-investing-for-smart-kids-72132274; https://www.thegreatbritishbookshop.co.uk/products/simple-investing-for-smart-kids-fun-habits-and-techniques-to-earning-spending-saving-donating-investing-and-growing-money-for-your-kids-ages-8-16-easy-money-lessons-for-your-children-to-gain-confidence-and-independence; https://openlibrary.org/publishers/epubli,"This book is a children's financial literacy title (ages 8-16) with no relevance to Atlas's core investing, trading, markets, or macro audience. The keyword-stuffed subtitle, dual publisher/ISBN discrepancy, complete absence of ratings or reviews, and hallmarks of low-content self-publishing all point to DROP_D. No credible finance reading-list mentions or author credentials were found to override this assessment.","Title targets children ages 8-16, outside Atlas's investing/trading/markets/macro scope; Bracket-heavy, keyword-stuffed subtitle typical of low-content self-publishing; Two conflicting publishers/ISBNs suggest repackaged or low-quality product; No ratings, reviews, or credible finance reading-list mentions found; Unknown author with no verifiable credentials; 'For beginners' / children's financial literacy framing outside Atlas's core audience",13,Simple Investing For Smart Kids:
16,Contrarian Investment Strategies in the Next Generation,David Dreman,google_books,KEEP_A,high,medium,keep,ok,,,none,,"David Dreman is a foundational figure in contrarian investing and behavioral finance, and this book is a canonical update to his earlier classic 'Contrarian Investment Strategy.' Published by Simon & Schuster, it details evidence-based contrarian strategies backed by decades of market data. Dreman's work is regularly cited on value investing reading lists and is considered essential for understanding market psychology and anomalies. The canonical override applies despite missing ratings.",,14,Contrarian Investment Strategies in the Next Generation
17,Value Stocks beat Growth Stocks: An empirical Analysis for the German Stock Market,Christian Schießl,google_books,DROP_D,medium,high,drop,ok,,,none,https://www.grin.com/document/202583; https://www.amazon.com/Value-Stocks-beat-Growth-empirical/dp/3954890690; https://www.amazon.co.uk/Value-Stocks-beat-Growth-empirical/dp/3656301662; https://www.barnesandnoble.com/w/value-stocks-beat-growth-stocks-christian-schiessl/1115918884; https://www.anchor-publishing.com/document/287392; https://ucca.ent.sirsidynix.net.uk/client/en_GB/default/search/detailnonmodal/ent:$002f$002fSD_ILS$002f0$002fSD_ILS:595511/one,"This is a self-published master's thesis via GRIN Verlag, a known thesis-publishing mill with no editorial peer review or independent quality filtering. It has no ratings, no reviews, and no presence on any credible investing or finance reading list. While the topic (value vs. growth in the German market) is relevant to investing, a narrow unpeer-reviewed thesis with zero critical reception does not meet Atlas's quality bar and should be dropped.","GRIN Verlag thesis mill, no peer review; Master's thesis, not a commercial or scholarly monograph; No ratings or reviews found anywhere; Not on any credible investing reading list; Narrow single-market academic scope",15,Value Stocks beat Growth Stocks: An empirical Analysis for the German Stock Market
18,Value versus Growth - An Empirical Analysis of Equity Fund Managers ́ Capabilities to Generate Alpha,Thomas Müller,google_books,DROP_D,medium,high,drop,ok,,,none,https://www.grin.com/document/192205; https://www.researchgate.net/post/GRIN-Is-it-worth-publishing-with-them; https://www.thestudentroom.co.uk/showthread.php?t=7025025,"This is a 2012 bachelor's thesis published via GRIN Verlag, a German self-publishing platform explicitly flagged by academic institutions as lacking peer review and quality standards. No ratings, reviews, or reading-list mentions were found for the title or author. As an unvetted student thesis with no measurable reputation signals, it does not meet the quality bar for Atlas's curated investing/trading reading list.","bachelor thesis / student work; GRIN Verlag self-publishing platform with no peer review; no ratings or reviews found; no reading-list mentions or third-party citations; unvetted, low-content academic work",16,Value versus Growth - An Empirical Analysis of Equity Fund Managers ́ Capabilities to Generate Alpha
19,Value Investing,Martin J. Whitman,google_books,KEEP_B,high,medium,keep,ok,,,none,,"Martin J. Whitman is a well-regarded value investor and founder of Third Avenue Management, lending credibility to this work on value investing published by John Wiley & Sons. The book presents an analytical framework for assessing company value including distressed situations, restructurings, and M&A — directly relevant to Atlas's investing scope. No ratings data is available, but the author's reputation and publisher credibility support retention. No red flags such as summary-style content or hyperbolic claims are present.",,17,Value Investing
20,Fundamentals of Investments,Richard A. Stevenson,google_books,REVIEW_C,medium,low,review,ok,,,none,https://www.amazon.com/Fundamentals-Investments-Richard-Stevenson/dp/0314656693; https://www.abebooks.com/9780314656698/Fundamentals-Investments-Stevenson-Richard-Jennings-0314656693/plp,"This is a legitimate multi-edition college-level investments textbook from 1988, published by West Publishing Co., covering foundational investing concepts relevant to Atlas's scope. However, it is over 35 years old, has no discoverable ratings or reviews, no modern readership, and no evidence of canonical or must-read status in investing literature. Without stronger evidence of enduring relevance or citation on reputable reading lists, a human review is warranted before inclusion.",1988 publication date — severely dated; No ratings or reviews found anywhere; Virtually no modern web presence; Out-of-print academic textbook with no noted canonical status,18,Fundamentals of Investments
21,What Is Value Investing?,Lawrence A. Cunningham,google_books,REVIEW_C,high,medium,review,ok,,,none,https://www.goodreads.com/book/show/293639.What_Is_Value_Investing_; https://www.amazon.com/What-Value-Investing-Lawrence-Cunningham/dp/0071429557; https://www.goodreads.com/author/show/742.Lawrence_A_Cunningham; https://larc.cardozo.yu.edu/alums-books/37/; https://www.amazon.ca/What-Value-Investing-Lawrence-Cunningham/dp/0071429557; https://www.abebooks.com/9780071429559/What-Value-Investing-Cunningham-Lawrence-0071429557/plp,"Cunningham is a credible, well-regarded author in value investing (known for 'The Essays of Warren Buffett'), and the publisher McGraw-Hill is reputable, so this is not a low-quality or scam product. However, the specific book has zero Goodreads reviews and no Amazon rating, making it impossible to assess reception on its own merits; reviews hint at thin content. As an introductory primer it may be redundant alongside stronger value investing titles in Atlas, warranting a human review decision.",no retrievable rating or reviews for this specific title; described as introductory/beginner primer with limited depth per one review; very thin content per negative Amazon review,19,What Is Value Investing?
22,Investor's Library,"Marvin Appel, Harry Domash, Michael N. Kahn CMT",google_books,REVIEW_C,high,low,review,ok,,,none,https://www.goodreads.com/book/show/10174250-investor-s-library; https://www.amazon.com/Investors-Library-Fundamental-Collection-Collections-ebook/dp/B004HW7MYO; https://www.oreilly.com/library/view/investors-library-fundamental/9780132678179/; https://books.apple.com/us/book/investors-library-fundamental-analysis-technical-analysis/id433147752; https://books.google.com/books/about/Investor_s_Library.html?id=_Exwgz9_6oEC,"This is a legitimate Pearson/FT Press omnibus bundling three credible titles by credentialed authors (Domash, Kahn CMT, Appel), all relevant to stock analysis, technical analysis, and income investing. However, as a compiled bundle it has zero ratings or reviews across all major platforms and no reading-list presence, making quality assessment impossible. The individual component books may merit separate evaluation, but this bundle format warrants human review before inclusion.",bundle/omnibus format with no standalone review presence; no ratings or reviews found anywhere; not on any notable reading lists,20,Investor's Library
23,Good Stocks Cheap: Value Investing with Confidence for a Lifetime of Stock Market Outperformance,Kenneth Jeffrey Marshall,google_books,KEEP_B,high,medium,keep,ok,4.07,229,goodreads,https://www.goodreads.com/book/show/35023750-good-stocks-cheap; https://www.amazon.com/Good-Stocks-Cheap-Confidence-Outperformance/dp/125983607X; https://www.valuewalk.com/book-review-good-stocks-cheap-kenneth-jeffrey-marshall/; https://www.stebi.in/booknotes-good-stocks-cheap-by-kenneth-jeffrey-marshall/; https://www.amazon.com/Kenneth-Jeffrey-Marshall/e/B071SD9D8M,"Published by McGraw Hill Professional with a solid 4.07 Goodreads rating from 229 readers, and the author has strong academic credentials teaching value investing at Stanford and Stockholm School of Economics. The book is an original, practical value investing guide with positive reception from credible finance sites like ValueWalk. Moderate review count and no canonical status keep it at KEEP_B rather than KEEP_A, but it is a credible specialist work highly relevant to Atlas's investing scope.",,21,Good Stocks Cheap: Value Investing with Confidence for a Lifetime of Stock Market Outperformance
24,Fundamental Analysis in Value Investing,Chau Duong,google_books,DROP_D,medium,high,drop,ok,,,none,,"Published by LAP Lambert Academic Publishing, which is widely known as a vanity press that publishes unreviewed academic theses with minimal editorial standards. There is no web evidence, no ratings, and no citations indicating this book has any meaningful readership or influence. The content, while topically relevant (fundamental analysis, value investing), appears to be a narrow thesis-level study on Japanese stocks with no evidence of canonical or specialist status.",LAP Lambert Academic Publishing (vanity/print-on-demand academic publisher known for low editorial standards); No ratings or reviews found; No web evidence or citations; Appears to be a narrow academic thesis/monograph with limited broader readership,22,Fundamental Analysis in Value Investing
25,Investing Online For Dummies,Kathleen Sindell,google_books,DROP_D,medium,high,drop,ok,,,none,,"This is a 2002 'For Dummies' introductory guide to online investing, making it over two decades old and largely obsolete given the dramatic changes in online brokerage platforms, tools, and markets since then. The 'For Dummies' series targets beginners, which combined with the dated content makes it a poor fit for Atlas's investing/trading knowledge base. No ratings or web evidence exist to suggest canonical status that would override these concerns.",'For Dummies' beginner-oriented format; severely outdated (2002); online investing guide from dot-com era has minimal current value; no ratings evidence,23,Investing Online For Dummies
26,Value Investing For Dummies,"Peter J. Sander, Janet Haley",google_books,KEEP_B,high,medium,keep,ok,4.4,61,amazon,https://www.goodreads.com/book/show/1983654.Value_Investing_for_Dummies; https://www.amazon.com/Value-Investing-Dummies-Sander-2008-03-31/dp/B01FIXZ9MC; https://us.amazon.com/Value-Investing-Dummies-Peter-Sander/dp/0470232226; https://www.barnesandnoble.com/w/value-investing-for-dummies-peter-j-sander/1004747577; https://books.google.com/books/about/Value_Investing_For_Dummies.html?id=HPHqDwAAQBAJ,"A legitimate 2nd-edition instructional text on value investing from John Wiley & Sons, authored by credentialed practitioners (MBA, CFP) with verifiable market commentary track records. The 'For Dummies' label signals introductory level but is an original work, not a summary or workbook, and is clearly on-topic. Amazon ratings cluster around 4.4 across editions, though review counts are modest; Goodreads shows a lower 3.83 across 58 ratings. Suitable as a beginner-level value investing reference, though the 2008 publication date limits currency.",'For Dummies' introductory framing; dated publication (2008) with potentially outdated tool references,24,Value Investing For Dummies
27,Fundamental Analysis,John C. Ritchie,google_books,REVIEW_C,high,low,review,ok,3.0,6,goodreads,https://www.goodreads.com/book/show/2884398-fundamental-analysis; https://www.goodreads.com/author/show/1250116.John_C_Ritchie; https://www.amazon.com/Fundamental-Analysis-Back-Investment-Selecting/dp/1557388660; https://www.amazon.co.uk/Fundamental-Analysis-Back-Basics-Investment/dp/1557388660; https://www.bookdepository.com/Fundamental-Analysis-Ritchie-Jr/9781557388667,"The book is a legitimate multi-edition fundamental analysis textbook from a credible academic (Temple University Finance professor) published by a reputable professional imprint (Irwin), making it relevant to Atlas's scope. However, the Goodreads rating of 3.0 from only 6 ratings is below the acceptable threshold, and the book has virtually no modern footprint on reading lists or review platforms. The author's academic credibility and professional publisher prevent a DROP_D, but insufficient evidence exists to confidently keep it without human review.",very low rating count (6 ratings); rating of 3.0 is below threshold; near-zero modern visibility,25,Fundamental Analysis
28,"The AFIRE Guide to U.S. Real Estate Investing, Fourth Edition: What Global Investors Need to Know about Commercial Real Estate Acquisition, Management, and Disposition",Will McIntosh,google_books,KEEP_B,medium,medium,keep,ok,,,none,https://www.afire.org/guide/; https://www.amazon.com/AFIRE-Guide-Estate-Investing-Fourth/dp/1265413460; https://www.amazon.com/Best-Sellers-Real-Estate/zgbs/digital-text/154930011; https://www.afire.org/product/afireguide/; https://us.amazon.com/AFIRE-Guide-Estate-Investing-Fourth-ebook/dp/B0CFNKCD1B,"Fourth edition of an established institutional reference from AFIRE (founded 1988), published by McGraw Hill Professional, edited by a highly credentialed author (PhD, CRE, PREA Graaskamp Award winner, global head of research at Affinius Capital). No ratings exist due to recency and niche institutional audience, but canonical override applies given the authoritative trade association backing and reputable publisher. Relevance is medium rather than high as the focus is specifically on cross-border commercial real estate for non-U.S. institutional investors, which is somewhat peripheral to Atlas's core investing/trading/markets/macro scope.",,26,"The AFIRE Guide to U.S. Real Estate Investing, Fourth Edition: What Global Investors Need to Know about Commercial Real Estate Acquisition, Management, and Disposition"
29,"Words on Cassette, 2002",R R Bowker Publishing,google_books,DROP_D,low,high,drop,ok,,,none,https://www.amazon.com/Words-on-Cassette-2002/dp/0835245160; https://www.goodreads.com/author/list/276502.R_R_Bowker; https://openlibrary.org/books/OL11491292M/Words_on_Cassette; https://www.amazon.com/Books-Out-Loud-2004-Audiobooks/dp/0835246116,"This is a library/audiobook reference catalog published by R. R. Bowker listing audiobook titles available on cassette — entirely unrelated to investing, trading, financial markets, or macro. It is a bibliographic reference directory with no connection to Atlas's corpus scope. There are no ratings or reviews, and the content has zero relevance to the domain.","no relevance to investing/trading/financial markets; trade reference directory/catalog, not an investing book; no ratings or reviews",27,"Words on Cassette, 2002"
30,The Money Answers Dictionary of Finance and Investment Terms,"John Downes, Jordan Elliot Goodman",google_books,KEEP_B,medium,medium,keep,ok,4.6,116,amazon,https://www.goodreads.com/work/editions/204848-dictionary-of-finance-and-investment-terms; https://www.amazon.com/Dictionary-Finance-Investment-Terms-Downes/dp/B003R4ZG0U; https://www.amazon.com/Dictionary-Finance-Investment-Barrons-Financial/dp/0764107909; https://www.abebooks.com/9780764134166/Dictionary-Finance-Investment-Terms-Barrons-0764134167/plp; https://www.goodreads.com/book/show/2143490.Dictionary_Of_Finance_Investment_Terms,"This is a long-running, well-regarded finance and investment reference dictionary from Barron's, authored by recognized finance professionals, with consistent ratings of 4.1–4.6 across multiple editions and strong Amazon bestseller placement. The 1997 edition is simply an older iteration of a durable series that has reached at least 10 editions. While the dated edition limits its practical reference utility, the title is credible and relevant to Atlas's investing/markets scope. Classified KEEP_B rather than KEEP_A as it is a dictionary/reference work rather than a canonical investing text.",1997 edition is outdated for a reference dictionary; reference/dictionary format limits narrative depth,28,The Money Answers Dictionary of Finance and Investment Terms
31,Private Wealth Mangement 9th Ed (PB),"G. Victor Hallman, Jerry S. Rosenbloom",google_books,KEEP_B,high,medium,keep,ok,3.95,37,goodreads,https://www.goodreads.com/book/show/134761358-private-wealth-mangement-9th-ed; https://www.goodreads.com/author/show/517979.Jerry_S_Rosenbloom; https://www.amazon.com/Private-Wealth-Management-Reference-Financial/dp/0071840168; https://www.amazon.com/Private-Wealth-Mangement-9th-Ed/dp/1265640424; https://www.barnesandnoble.com/w/private-wealth-mangement-9th-ed-g-victor-hallman/1143437533; https://books.apple.com/us/book/private-wealth-mangement-9th-ed-pb/id947112747; https://www.amazon.com/Private-Wealth-Management-4-book-series/dp/B087JM43VH,"A long-running (9th edition) professional reference from McGraw-Hill authored by Wharton School faculty, with over 135,000 copies sold across prior editions — clear indicators of canonical standing within personal financial planning and private wealth management. The 3.95 rating from 37 reviews is acceptable given the niche professional audience and the fact that earlier editions predate online reviews. The title typo ('Mangement') is a publisher metadata error for this paperback SKU, not a quality signal. Solidly relevant to Atlas's investing and financial planning scope.",,29,Private Wealth Mangement 9th Ed (PB)
