corpus_row,google_volume_id,title,subtitle,author,isbn_13,canonical_isbn_13,description,publisher,publication_year,categories,language,cover_url,quality_tier,relevance_tier,keep_source,duplicate_group,collapsed_count
30,pyeA4Bj3wAgC,The Money Answers Dictionary of Finance and Investment Terms,,"John Downes, Jordan Elliot Goodman",9780764105029,9780764105029,"Updated to reflect current financial trench and laws, this handbook defines more than 8,500 terms that relate to( stocks and other securities, banking, tax law, monetary policies, and much more. (editor: if there is anything new and noteworthy in this edition, please add a sentence or two to describe it here.",Barron's Educational Series,1997,Business & Economics,en,https://books.google.com/books/content?id=pyeA4Bj3wAgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,KEEP_B,medium,web_keep_b,28,1
31,qRakBQAAQBAJ,Private Wealth Mangement 9th Ed (PB),,"G. Victor Hallman, Jerry S. Rosenbloom",9780071840170,9780071840170,"Where financial advisors go for answers--revised and updated to address consequential legal and economic changes From the oil crisis and stock market crash in the 1970sthrough deregulation into the 1990s to the 2008 financial crisis--every financial planner worth their salt turned to Victor Hallman and Jerry Rosenbloom's classic reference for answers. To maintain its iconic position in the industry, this bible of wealth development moves into its Ninth Edition to ensure today's professional investors and financial stewards have reliable guidance to the latest legislation, economic developments, and wealth managementtrends and techniques. This latest edition of Private Wealth Managementprovides everything you need to operate with sophistication and savvy in today's markets--from setting financial objectives and executing the planning process to investing in equities and fixed-income securities to retirement income planning to methods for lifetime wealth transfers, and more. Written for the serious practitioner, this one-of-a-kind guide gives you a solid foundation for planning a prosperous financial future in the real world, which means it makes you an expert in: Major new tax legislation, including the ""Tax Relief, Unemployment Insurance Reauthorization and Job Creation Act of 2010"" and the ""American Taxpayer Relief Act of 2012"" A variety of economic benefits and investment products Changes in individual annuities and retirement products with an increased focus on retirement planning Modifications to health and disability insurance The Patient Protection and Affordable Care and Health Care Reconciliation Act of 2010 Dodd-Frank Wall Street Reform and Consumer Protection Act of 2010 New developments in estate and marital deduction planning such as ""portability"" This completely updated edition remains a wealth-building and income management tool by presenting many useful strategies, including those for dealing with the current ""super-low"" interest rates. Private Wealth Management, Ninth Edition, is thecornerstone of financial planning.",McGraw Hill Professional,2014,Business & Economics,en,https://books.google.com/books/content?id=qRakBQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,KEEP_B,high,web_keep_b,29,1
32,sqdmvYZrX3cC,Private Wealth Management: The Complete Reference for the Personal Financial Planner,,"G. Victor Hallman, Jerry S. Rosenbloom",9780071544221,9780071544221,"The last 30 years have witnessed stock market booms and busts, economic prosperity and downturns, various presidential administrations, and technological revolutions. Through it all, Victor Hallman and Jerry Rosenbloom's classic guidebook, which previously was titled Personal Financial Planning in its first through seventh edition, has retained its status as the most accurate and up-to-date resource to help Americans protect their futures by investing wisely, insuring their families, and planning for their estates and retirements. Now, with Private Wealth Management, Eighth Edition, money managers and personal investors once again have a reliable resource of personal financial management guidance that is complete with essential new material addressing the latest trends in financial planning. These historic economic times call for new guidance. Hallman and Rosenbloom deliver with new chapters on asset protection planning, cash flow analysis, and interest accumulation concepts, as well as increased coverage of common stock investments and alternative investments. Additionally, in-depth and up-to-date attention is given to the Tax Relief Act of 2004 and the Pension Protection Act of 2006. This proven wealth-building tool features cutting-edge financial thinking and highreturn/ low-risk strategies in virtually every applicable area, including Index funds Value investing Dollar-cost averaging Fixed-income investing Profit-sharing plans Stock bonus plans 401(k) plans Simplified employee pension plans Estate planning Gift taxes Generation-skipping transfer taxes Income and capital gains tax planning Health insurance plans including HMOs Personal risk management From setting financial objectives and understanding the planning process to investing in equities and fixed-income securities, Private Wealth Management offers an effective, coordinated process that shows readers how to plan a prosperous financial future in today’s no-guarantee financial environment.",McGraw Hill Professional,2008,Business & Economics,en,https://books.google.com/books/content?id=sqdmvYZrX3cC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,KEEP_B,medium,web_keep_b,30,1
34,DctIxcCoguoC,Kiss Your Stockbroker Goodbye,A Guide to Independent Investing,"John Wells, John G. Wells",9780767901789,9780767901789,A 25-year veteran of the investment profession breaks the spell of full-commission brokerage houses and shows how to join the booming ranks of investors who save--and make--a fortune with their own do-it-yourself strategies.,Broadway,1998,Business & Economics,en,https://books.google.com/books/content?id=DctIxcCoguoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,KEEP_B,medium,web_keep_b,32,1
38,OmaeIdd95EQC,The Art and Science of Technical Analysis,"Market Structure, Price Action, and Trading Strategies",Adam Grimes,9781118238141,9781118238141,"A breakthrough trading book that provides powerful insights on profitable technical patterns and strategies The Art and Science of Technical Analysis is a groundbreaking work that bridges the gaps between the academic view of markets, technical analysis, and profitable trading. The book explores why randomness prevails in markets most, but not all, of the time and how technical analysis can be used to capture statistically validated patterns in certain types of market conditions. The belief of the book is that buying and selling pressure causes patterns in prices, but that these technical patterns are only effective in the presence of true buying/selling imbalance. The Art and Science of Technical Analysis is supported by extensive statistical analysis of the markets, which will debunk some tools and patterns such as Fibonacci analysis, and endorse other tools and trade setups. In addition, this reliable resource discusses trader psychology and trader learning curves based on the author's extensive experience as a trader and trainer of traders. Offers serious traders a way to think about market problems, understand their own performance, and help find a more productive path forward Includes extensive research to validate specific money-making patterns and strategies Written by an experienced market practitioner who has trained and worked with many top traders Filled with in-depth insights and practical advice, The Art and Science of Technical Analysis will give you a realistic sense of how markets behave, when and how technical analysis works, and what it really takes to trade successfully.",John Wiley & Sons,2012,Business & Economics,en,https://books.google.com/books/content?id=OmaeIdd95EQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,KEEP_A,high,auto_keep_annotation,36,1
39,2HpWnQiPqMYC,Intermarket Technical Analysis,"Trading Strategies for the Global Stock, Bond, Commodity, and Currency Markets",John J. Murphy,9780471524335,9780471524335,"Trying to trade stock, bond, commodity and currency markets without intermarket awareness is like trying to drive a car without looking out the side and rear windows--very dangerous. In this guide to intermarket analysis, the author uses years of experience in technical analysis plus extensive charts to clearly demonstrate the interrelationshps that exist among the various market sectors and their importance. You'll learn how to use activity in surrounding markets in the same way that most people employ traditional technical indicators for directional clues. Shows the analyst how to focus outward, rather than inward, to provide a more rational understanding of technical forces at work in the marketplace.",John Wiley & Sons,1991,Business & Economics,en,https://books.google.com/books/content?id=2HpWnQiPqMYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,KEEP_A,high,web_keep_a,37,1
40,3EfBDwAAQBAJ,MIDAS Technical Analysis,A VWAP Approach to Trading and Investing in Today's Markets,"Andrew Coles, David Hawkins",9781576603727,9781576603727,"This book provides a new, powerful twist to MIDAS technical analysis, a trading method developed by the late Paul Levine. The authors show how to employ MIDAS in trading, from recognizing set ups to identifying price targets. The book explains the basics of MIDAS before demonstrating how to apply it in different time frames. Further, it extrapolates how MIDAS can be used with other more conventional indicators, such as DeMark or moving averages. In addition to introducing new indicators that the authors have created, the book also supplies new computer codes.",John Wiley & Sons,2012,Business & Economics,en,https://books.google.com/books/content?id=3EfBDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,KEEP_B,high,web_keep_b,38,1
41,yeM6viq7fAYC,"Bond and Money Markets: Strategy, Trading, Analysis",,Moorad Choudhry,9780080476186,9780080476186,"Bond and Money Markets: Strategy, Trading, Analysis explains and analyses all aspects of the bond and money markets and is both an introduction for newcomers and an advanced text for experienced market practitioners and graduate students. Those with experience of the industry at all levels will find the book invaluable as a standard reference work.The book features coverage of: - Government and Corporate bonds, Eurobonds, callable bonds, convertibles - Asset-backed bonds including mortgages and CDOs - Derivative instruments including bond futures, swaps, options, structured products, and option valuation models - Interest-rate risk, duration analysis, convexity, and the convexity bias - The money markets, repo markets, basis trading, and asset / liability management - Term structure models, estimating and interpreting the yield curve - Portfolio management, including total return framework, portfolio strategies, and constructing bond indices and valuable insight into: - Trading and hedging strategy - Charting and technical analysis - The latest market developments, such as value-at-risk, and credit derivatives - Emerging markets and the benefits of international investment The Bond and Money Markets: Strategy, Trading, Analysis is aimed at a wide readership including bond salespersons, traders, corporate financiers and graduate trainees, as well as risk managers, operations professionals and business analysts. Other market participants including fund managers, corporate treasurers, management consultants, regulators and financial journalists will also find the content useful. - This book is virtually a stand alone reference book on interest rate swaps, the money markets, financial market mathematics, interest-rate futures and technical analysis - Includes some introductory coverage of very specialised topics (for which one requires specialised texts) such as VaR, Asset & liability management, credit derivatives - Combines accessible style with advanced level topics, plus review of latest research",Elsevier,2001,Business & Economics,en,https://books.google.com/books/content?id=yeM6viq7fAYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,KEEP_A,high,web_keep_a,39,1
42,62-9CgAAQBAJ,Technical Analysis,The Complete Resource for Financial Market Technicians,"Charles D. Kirkpatrick II, Julie R. Dahlquist",9780134137162,9780134137162,"Master technical analysis, step-by-step! Already the field's most comprehensive, reliable, and objective introduction, this guidebook has been thoroughly updated to reflect the field's latest advances. Selected by the Market Technicians Association as the official companion to its prestigious Chartered Market Technician (CMT) program, Technical Analysis, Third Edition systematically explains the theory of technical analysis, presenting academic evidence both for and against it. Using hundreds of fully updated illustrations and examples, the authors explain the analysis of both markets and individual issues, and present complete investment systems and portfolio management plans. They present authoritative, up-to-date coverage of tested sentiment, momentum indicators, seasonal effects, flow of funds, testing systems, risk mitigation strategies, and many other topics. Offering 30% new coverage, Technical Analysis, Third Edition thoroughly addresses recent advances in pattern recognition, market analysis, systems management, and confidence testing; Kagi, Renko, Kase, Ichimoku, Clouds, and DeMark indicators; innovations in exit stops, portfolio selection, and testing; implications of behavioral bias, and the recent performance of old formulas and methods. For traders, researchers, and serious investors alike, this is the definitive guide to profiting from technical analysis.",FT Press,2015,Business & Economics,en,https://books.google.com/books/content?id=62-9CgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,KEEP_A,high,auto_keep_annotation,40,1
43,iA0fEAAAQBAJ,Technical Analysis and Stock Market Profits (Harriman Definitive Edition),,Richard Schabacker,9780857199171,9780857199171,"With a new foreword by Peter Brandt. Richard W. Schabacker's great work, Technical Analysis and Stock Market Profits, is a worthy addition to any technical analyst's personal library or any market library. His ""pioneering research"" represents one of the finest works ever produced on technical analysis, and this book remains an example of the highest order of analytical quality and incisive trading wisdom. Originally devised as a practical course for investors, it is as alive, vital and instructional today as the day it was written. It paved the way for Robert Edwards and John Magee's best-selling Technical Analysis of Stock Trends - a debt which is acknowledged in their foreword: 'Part One is based in large part on the pioneer researches and writings of the late Richard Schabacker.' Schabacker presents technical analysis as a totally organized subject and comprehensively lays out the various important patterns, formations, trends, support and resistance areas, and associated supporting technical detail. He presents factors that can be confidently relied on, and gives equal attention to the blemishes and weaknesses that can upset the best of analytical forecasts: Factors which investors would do well to absorb and apply when undertaking the fascinating game of price, time and volume analysis.",Harriman House Limited,2021,Business & Economics,en,https://books.google.com/books/content?id=iA0fEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,KEEP_A,high,web_keep_a,41,1
44,hOBhz7i6npcC,New Frontiers in Technical Analysis,Effective Tools and Strategies for Trading and Investing,Paul Ciana,9781118155592,9781118155592,"An essential guide to the most innovative technical trading tools and strategies available In today's investment arena, there is a growing demand to diversify investment strategies through numerous styles of contemporary market analysis, as well as a continuous search for increasing alpha. Paul Ciana, Bloomberg L.P.'s top liason to Technical Analysts worldwide, understands these challenges very well and that is why he has created New Frontiers in Technical Analysis. Paul, along with in-depth contributions from some of the worlds most accomplished market participants developed this reliable guide that contains some of the newest tools and strategies for analyzing today's markets. The methods discussed are based on the existing body of knowledge of technical analysis and have evolved to support, and appeal to technical, fundamental, and quantitative analysts alike. • It answers the question ""What are other people using?"" by quantifying the popularity of the universally accepted studies, and then explains how to use them • Includes thought provoking material on seasonality, sector rotation, and market distributions that can bolster portfolio performance • Presents ground-breaking tools and data visualizations that paint a vivid picture of the direction of trend by capitalizing on traditional indicators and eliminating many of their faults • And much more Engaging and informative, New Frontiers in Technical Analysis contains innovative insights that will sharpen your investments strategies and the way you view today's market.",John Wiley & Sons,2011,Business & Economics,en,https://books.google.com/books/content?id=hOBhz7i6npcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,KEEP_B,high,web_keep_b,42,1
45,y9l5CgAAQBAJ,Trading with Intermarket Analysis,A Visual Approach to Beating the Financial Markets Using Exchange-Traded Funds,John J. Murphy,9781119210016,9781119210016,"A visual guide to market trading using intermarket analysis and exchange-traded funds With global markets and asset classes growing even more interconnected, intermarket analysis—the analysis of related asset classes or financial markets to determine their strengths and weaknesses—has become an essential part of any trader's due diligence. In Trading with Intermarket Analysis, John J. Murphy, former technical analyst for CNBC, lays out the technical and intermarket tools needed to understand global markets and illustrates how they help traders profit in volatile climates using exchange-traded funds. Armed with a knowledge of how economic forces impact various markets and financial sectors, investors and traders can profit by exploiting opportunities in markets about to rise and avoiding those poised to fall. Trading with Intermarket Analysis provides advice on trend following, chart patterns, moving averages, oscillators, spotting tops and bottoms, using exchange-traded funds, tracking market sectors, and the new world of intermarket relationships, all presented in a highly visual way. Gives readers a visually rich introduction to the world of intermarket analysis, the ultimate tool for beating the markets Provides practical advice on trend following, chart patterns, moving averages, oscillators, spotting tops and bottoms, using exchange-traded funds, tracking market sectors, and intermarket relationships Includes appendices on Japanese candlesticks and point-and-figure charting Comprehensive and easy-to-use, Trading with Intermarket Analysis presents the most important concepts related to using exchange-traded funds to beat the markets in a visually accessible format.",John Wiley & Sons,2015,Business & Economics,en,https://books.google.com/books/content?id=y9l5CgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,KEEP_A,high,web_keep_a,43,1
46,UIxyWFkFJ4QC,Technical Analysis for the Trading Professional,,Constance M. Brown,9780071380102,9780071380102,"""There are fifteen major breakthroughs in technical analysis! SEVEN of these breakthroughs are new, never-before-revealed material!"" - George Lane, Stochastics Originator. As professional traders approach the 21st century, accelerating technological change threatens to make conventional technical studies and indicators ineffective. To compete in this changing environment, these professionals need radical new uses and combinations of indicators and formulas to keep their competitive edge. Not a primer for the novice, TECHNICAL ANALYSIS FOR THE TRADING PROFESSIONAL resets the scales, arming today's professional trader with new, unique, and never-before-seen formulas and uses of key market indicators and techniques.",McGraw Hill Professional,1999,Business & Economics,en,https://books.google.com/books/content?id=UIxyWFkFJ4QC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,KEEP_B,high,web_keep_b,44,1
